excitation,eps_hole,eps_particle,k_hole,k_particle
5.27199813260379457e-02,1.38590398002998083e+00,1.43862396135601878e+00,9.35414346693485332e-01,2.50000000000000000e-01
5.42937057033963111e-02,1.38590398002998083e+00,1.44019768573337714e+00,9.35414346693485332e-01,0.00000000000000000e+00
5.42937057045531635e-02,1.38590398002998083e+00,1.44019768573453399e+00,9.35414346693485332e-01,0.00000000000000000e+00
8.33609392544845118e-02,1.38590398002998083e+00,1.46926491928446534e+00,9.35414346693485332e-01,1.00000000000000000e+00
9.69339729679770112e-02,1.34168998838804177e+00,1.43862396135601878e+00,9.01387818865997281e-01,2.50000000000000000e-01
9.85076973453353766e-02,1.34168998838804177e+00,1.44019768573337714e+00,9.01387818865997281e-01,0.00000000000000000e+00
9.85076973464922290e-02,1.34168998838804177e+00,1.44019768573453399e+00,9.01387818865997281e-01,0.00000000000000000e+00
1.22840842605430600e-01,1.38590398002998083e+00,1.50874482263541143e+00,9.35414346693485332e-01,1.03077640640441515e+00
1.27574930896423577e-01,1.34168998838804177e+00,1.46926491928446534e+00,9.01387818865997281e-01,1.00000000000000000e+00
1.43114850335610111e-01,1.29550911102040867e+00,1.43862396135601878e+00,8.66025403784438597e-01,2.50000000000000000e-01
1.44688574712968476e-01,1.29550911102040867e+00,1.44019768573337714e+00,8.66025403784438597e-01,0.00000000000000000e+00
1.44688574714125329e-01,1.29550911102040867e+00,1.44019768573453399e+00,8.66025403784438597e-01,0.00000000000000000e+00
