excitation,eps_hole,eps_particle,k_hole,k_particle
9.60101550192508091e-02,7.00965884923726579e-01,7.96976039942977388e-01,4.33012701892219298e-01,5.00000000000000000e-01
1.79028531936791024e-01,7.00965884923726579e-01,8.79994416860517603e-01,4.33012701892219298e-01,5.59016994374947451e-01
2.12809825502114802e-01,5.84166214440862586e-01,7.96976039942977388e-01,3.53553390593273786e-01,5.00000000000000000e-01
2.52982332660925291e-01,7.00965884923726579e-01,9.53948217584651870e-01,4.33012701892219298e-01,6.12372435695794470e-01
2.95828202419655018e-01,5.84166214440862586e-01,8.79994416860517603e-01,3.53553390593273786e-01,5.59016994374947451e-01
3.69782003143789284e-01,5.84166214440862586e-01,9.53948217584651870e-01,3.53553390593273786e-01,6.12372435695794470e-01
3.70989805481300117e-01,4.25986234461677271e-01,7.96976039942977388e-01,2.50000000000000000e-01,5.00000000000000000e-01
3.82066251588209616e-01,7.00965884923726579e-01,1.08303213651193619e+00,4.33012701892219298e-01,7.07106781186547573e-01
4.39688146510940125e-01,7.00965884923726579e-01,1.14065403143466670e+00,4.33012701892219298e-01,7.50000000000000000e-01
4.54008182398840332e-01,4.25986234461677271e-01,8.79994416860517603e-01,2.50000000000000000e-01,5.59016994374947451e-01
4.93765813189441571e-01,7.00965884923726579e-01,1.19473169811316815e+00,4.33012701892219298e-01,7.90569415042094881e-01
4.98865922071073609e-01,5.84166214440862586e-01,1.08303213651193619e+00,3.53553390593273786e-01,7.07106781186547573e-01
