excitation,eps_hole,eps_particle,k_hole,k_particle
4.29137447164898378e-01,1.68579328456775705e-03,4.30823240449466127e-01,0.00000000000000000e+00,2.50000000000000000e-01
4.29137447164898378e-01,1.68579328456775705e-03,4.30823240449466127e-01,0.00000000000000000e+00,2.50000000000000000e-01
5.86362099239605139e-01,1.68579328456775705e-03,5.88047892524172888e-01,0.00000000000000000e+00,3.53553390593273786e-01
5.86362099239605139e-01,1.68579328456775705e-03,5.88047892524172888e-01,0.00000000000000000e+00,3.53553390593273786e-01
7.02495615848606203e-01,1.68579328456775705e-03,7.04181409133173952e-01,0.00000000000000000e+00,4.33012701892219298e-01
7.02495615848606203e-01,1.68579328456775705e-03,7.04181409133173952e-01,0.00000000000000000e+00,4.33012701892219298e-01
7.98033413552985849e-01,1.68579328456775705e-03,7.99719206837553598e-01,0.00000000000000000e+00,5.00000000000000000e-01
7.98033413552985849e-01,1.68579328456775705e-03,7.99719206837553598e-01,0.00000000000000000e+00,5.00000000000000000e-01
8.80700458165313060e-01,1.68579328456775705e-03,8.82386251449880810e-01,0.00000000000000000e+00,5.59016994374947451e-01
8.80700458165313060e-01,1.68579328456775705e-03,8.82386251449880810e-01,0.00000000000000000e+00,5.59016994374947451e-01
9.54382492639248792e-01,1.68579328456775705e-03,9.56068285923816541e-01,0.00000000000000000e+00,6.12372435695794470e-01
9.54382492639248792e-01,1.68579328456775705e-03,9.56068285923816541e-01,0.00000000000000000e+00,6.12372435695794470e-01
