q,r3,k,parity,type,index,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
1.60000000000000000e+01,6.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.46957889925224983e+00,-1.46936728142686768e+00,-1.46931267238044616e+00,-1.46929414468114827e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.44394434828248697e+00,-1.44416617661263169e+00,-1.44422093586051781e+00,-1.44423905602226044e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-2.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.44394434828249252e+00,-1.44416617661262858e+00,-1.44422093586050426e+00,-1.44423905602224223e+00,0.00000000000000000e+00
1.40000000000000000e+01,4.80000000000000000e+01,9.35414346693485332e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.38621860413741738e+00,-1.38600832557843567e+00,-1.38595415331167615e+00,-1.38593579062713457e+00,0.00000000000000000e+00
1.30000000000000000e+01,2.40000000000000000e+01,9.01387818865997281e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.34200441561536032e+00,-1.34179535213270729e+00,-1.34174153717979583e+00,-1.34172330379887339e+00,0.00000000000000000e+00
1.20000000000000000e+01,8.00000000000000000e+00,8.66025403784438597e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,3.20000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.29582294280935262e+00,-1.29561552344119546e+00,-1.29556217506547622e+00,-1.29554410779096441e+00,0.00000000000000000e+00
1.10000000000000000e+01,2.40000000000000000e+01,8.29156197588849952e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.24740848339718746e+00,-1.24720320027623588e+00,-1.24715044379725071e+00,-1.24713258483782741e+00,0.00000000000000000e+00
1.00000000000000000e+01,2.40000000000000000e+01,7.90569415042094881e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.19643115466421257e+00,-1.19622857886882561e+00,-1.19617655969436898e+00,-1.19615895802181482e+00,0.00000000000000000e+00
9.00000000000000000e+00,3.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.20000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.14247314058856775e+00,-1.14227394400870441e+00,-1.14222283319617213e+00,-1.14220554641722005e+00,0.00000000000000000e+00
8.00000000000000000e+00,1.20000000000000000e+01,7.07106781186547573e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,4.80000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.08499238135931408e+00,-1.08479736781522895e+00,-1.08474736998580701e+00,-1.08473046700582820e+00,0.00000000000000000e+00
6.00000000000000000e+00,2.40000000000000000e+01,6.12372435695794470e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-9.56285042333052226e-01,-9.56101589396627927e-01,-9.56054630588254906e-01,-9.56038768971317898e-01,0.00000000000000000e+00
5.00000000000000000e+00,2.40000000000000000e+01,5.59016994374947451e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-8.82591470981729298e-01,-8.82416011729836525e-01,-8.82371135658398531e-01,-8.82355984347259148e-01,0.00000000000000000e+00
4.00000000000000000e+00,6.00000000000000000e+00,5.00000000000000000e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-7.99910367917135545e-01,-7.99745077493100420e-01,-7.99702837539654099e-01,-7.99688582822326799e-01,0.00000000000000000e+00
