q,r3,k,parity,type,index,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
2.10000000000000000e+01,4.80000000000000000e+01,1.14564392373895996e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.65513009268569689e+00,-1.65491994550359256e+00,-1.65486547206641044e+00,-1.65484694536989152e+00,0.00000000000000000e+00
2.00000000000000000e+01,2.40000000000000000e+01,1.11803398874989490e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.62018928573997645e+00,-1.61997840006190286e+00,-1.61992378628091727e+00,-1.61990522123745206e+00,0.00000000000000000e+00
1.90000000000000000e+01,2.40000000000000000e+01,1.08972473588516849e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.58425267180037843e+00,-1.58404125131909868e+00,-1.58398654909500403e+00,-1.58396796319101507e+00,0.00000000000000000e+00
1.80000000000000000e+01,3.60000000000000000e+01,1.06066017177982119e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.44000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.54723622956923479e+00,-1.54702449703454503e+00,-1.54696976312042644e+00,-1.54695117547658767e+00,0.00000000000000000e+00
1.70000000000000000e+01,4.80000000000000000e+01,1.03077640640441515e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.50904368311070014e+00,-1.50883188323923201e+00,-1.50877717998124727e+00,-1.50875861160189650e+00,0.00000000000000000e+00
1.60000000000000000e+01,6.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.46956387215698658e+00,-1.46935227518474920e+00,-1.46929767142595469e+00,-1.46927914550335936e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.44768139324274792e+00,-1.44790010644990885e+00,-1.44795407579649615e+00,-1.44797193053960549e+00,0.00000000000000000e+00
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,4.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.44768139324273748e+00,-1.44790010644991063e+00,-1.44795407579648061e+00,-1.44797193053958040e+00,0.00000000000000000e+00
1.40000000000000000e+01,4.80000000000000000e+01,9.35414346693485332e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.38620194692875476e+00,-1.38599169157086166e+00,-1.38593752518743263e+00,-1.38591916447982166e+00,0.00000000000000000e+00
1.30000000000000000e+01,2.40000000000000000e+01,9.01387818865997281e-01,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.34198677648542830e+00,-1.34177773758496088e+00,-1.34172392886592950e+00,-1.34170569757979252e+00,0.00000000000000000e+00
