N,eps_homo
8.00000000000000000e+00,0.00000000000000000e+00
3.20000000000000000e+01,8.95832758318687361e-01
8.00000000000000000e+01,1.26258242904154505e+00
1.12000000000000000e+02,1.54201101645932992e+00
1.36000000000000000e+02,1.77627479990539561e+00
2.32000000000000000e+02,1.98171672907013408e+00
3.28000000000000000e+02,2.16671925958345435e+00
3.76000000000000000e+02,2.49358198363882266e+00
4.96000000000000000e+02,2.64093405087543776e+00
5.92000000000000000e+02,2.77995368213713556e+00
6.88000000000000000e+02,2.91187567060171792e+00
7.20000000000000000e+02,3.03765848338116706e+00
7.28000000000000000e+02,3.14544820862348029e+00
8.24000000000000000e+02,3.15806365137248912e+00
8.32000000000000000e+02,3.17751832586059546e+00
1.02400000000000000e+03,3.27370805685270927e+00
1.04800000000000000e+03,3.49266248460661011e+00
1.05600000000000000e+03,3.55413590703882143e+00
1.24800000000000000e+03,3.59675502546866577e+00
1.27200000000000000e+03,3.59990934434544130e+00
1.28000000000000000e+03,3.65875536825535619e+00
1.42400000000000000e+03,3.69768336626264160e+00
