y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-2.50000000000000000e+00,3.05902320501830550e-07,3.05902320501825786e-07,6.59920364213225105e-08,-1.44922234003686844e-09,2.15729113506115483e-01,-4.73753300615520605e-03,2.99480465253551831e+00,-1.57717487338201595e-02,-1.62004555477162950e-02,-2.40398633749053150e-03,-1.55019615087541481e-03,-1.68890608695536695e-03,-1.68890608695536695e-03
-2.45000000000000018e+00,4.12924941587338202e-07,4.12924941587326449e-07,8.90715572460968859e-08,-2.02228136304073788e-09,2.15708832950842228e-01,-4.89745510471437714e-03,2.99462927626517184e+00,-1.57702660418609919e-02,-1.61007730834200266e-02,-2.19289195367033951e-03,-1.42624662558053783e-03,-1.68774135371168644e-03,-1.68774135371168644e-03
-2.39999999999999991e+00,5.57390369269489520e-07,5.57390369269460615e-07,1.20265035411212678e-07,-2.84978430122901191e-09,2.15764466057849408e-01,-5.11272612220419094e-03,2.99439320239857443e+00,-1.57743333249955632e-02,-1.59325627777453308e-02,-2.01478910277005365e-03,-1.21396902022218706e-03,-1.68743725076795151e-03,-1.68743725076795151e-03
-2.35000000000000009e+00,7.52398299216490886e-07,7.52398299216419947e-07,1.62474100181345170e-07,-4.08423103069119202e-09,2.15941610116015231e-01,-5.42828317786561449e-03,2.99404715128992915e+00,-1.57872841573133485e-02,-1.56551615434538487e-02,-1.84658854505565830e-03,-8.62983378496531102e-04,-1.68840889022941381e-03,-1.68840889022941381e-03
-2.29999999999999982e+00,1.01563147100266666e-06,1.01563147100249196e-06,2.19686163129899419e-07,-5.99669087489874913e-09,2.16304997828646844e-01,-5.90439647264931564e-03,2.99352502848980295e+00,-1.58138510847133408e-02,-1.52097477650900339e-02,-1.66336522362937347e-03,-3.02256519779356479e-04,-1.69119214527511724e-03,-1.69119214527511724e-03
-2.25000000000000000e+00,1.37095908638451390e-06,1.37095908638408445e-06,2.97420586403736753e-07,-9.07651456808970952e-09,2.16943444452588230e-01,-6.62055830712577047e-03,2.99273965990955881e+00,-1.58605273055029625e-02,-1.45140570274062235e-02,-1.43584022152340170e-03,5.64767643360235944e-04,-1.69638506180459607e-03,-1.69638506180459607e-03
-2.20000000000000018e+00,1.85060119758296102e-06,1.85060119758190477e-06,4.03384695062723571e-07,-1.42108973330352041e-08,2.17974945433844824e-01,-7.67907064558475717e-03,2.99157885757074826e+00,-1.59359393536529018e-02,-1.34564794541858265e-02,-1.12786684388094488e-03,1.86504843444386197e-03,-1.70448467437260423e-03,-1.70448467437260423e-03
-2.14999999999999991e+00,2.49805032586923788e-06,2.49805032586663961e-06,5.48451094200843862e-07,-2.30021986783476130e-08,2.19551659356811285e-01,-9.20806055833464643e-03,2.98990211276367246e+00,-1.60512113974396083e-02,-1.18896801364378347e-02,-6.93916800915486860e-04,3.76059507340597557e-03,-1.71554437308788508e-03,-1.71554437308788508e-03
-2.10000000000000009e+00,3.37201523414556903e-06,3.37201523413917859e-06,7.48130433069565703e-07,-3.83184171218225780e-08,2.21864487887033890e-01,-1.13636548061458141e-02,2.98753821132060748e+00,-1.62203000746711408e-02,-9.62396425600008446e-03,-7.65827279168910900e-05,6.45264531402915068e-03,-1.72854898275559533e-03,-1.72854898275559533e-03
-2.04999999999999982e+00,4.55174446309895718e-06,4.55174446308323963e-06,1.02481124086226877e-06,-6.52312086515765580e-08,2.25146918763556192e-01,-1.43310348769866008e-02,2.98428407662494033e+00,-1.64602754501745226e-02,-6.42075634106570314e-03,7.95874496462892840e-04,1.01851132696429425e-02,-1.74037799483412327e-03,-1.74037799483412327e-03
-2.00000000000000000e+00,6.14421235336686839e-06,6.14421235332820981e-06,1.41118855387660479e-06,-1.12586810548843071e-07,2.29677698739072539e-01,-1.83240428674078630e-02,2.97990520181568064e+00,-1.67915164318885833e-02,-1.98680713895413091e-03,2.01189020074855809e-03,1.52469335956005401e-02,-1.74421015857309188e-03,-1.74421015857309188e-03
-1.94999999999999996e+00,8.29381916085245496e-06,8.29381916075737043e-06,1.95553105596187352e-06,-1.95592331359885590e-07,2.35781733126587650e-01,-2.35829028302595133e-02,2.97413814863872750e+00,-1.72377765358580730e-02,4.02991553385604207e-03,3.67879711299302871e-03,2.19727138364541157e-02,-1.72722846742640024e-03,-1.72722846742640024e-03
-1.89999999999999991e+00,1.11954848428248310e-05,1.11954848425909601e-05,2.72977691419741374e-06,-3.40001013420128549e-07,2.43828378366654441e-01,-3.03694764631062090e-02,2.96669575022796783e+00,-1.78260590574609162e-02,1.20412962636710381e-02,5.92472681340819492e-03,3.07407988491405007e-02,-1.66753409738665324e-03,-1.66753409738665324e-03
-1.84999999999999987e+00,1.51123238204302654e-05,1.51123238198550334e-05,3.84194643103232361e-06,-5.88766095282672490e-07,2.54226052646162604e-01,-3.89593355926593846e-02,2.95727580470125728e+00,-1.85862230589129498e-02,2.25153886145906847e-02,8.89997533149644235e-03,4.19675079307416862e-02,-1.53029875628242452e-03,-1.53029875628242452e-03
-1.79999999999999982e+00,2.03995034125867992e-05,2.03995034111719594e-05,5.45507043507612379e-06,-1.01242500234488037e-06,2.67411922982821681e-01,-4.96298847054491427e-02,2.94557410041640377e+00,-1.95502294018983780e-02,3.59660995050806176e-02,1.27774592122950649e-02,5.60960242151442648e-02,-1.26340725456670108e-03,-1.26340725456670108e-03
-1.75000000000000000e+00,2.75364493532271049e-05,2.75364493497471581e-05,7.81582038758832975e-06,-1.72499041235731699e-06,2.83835446186895379e-01,-6.26438939330119654e-02,2.93130247428623969e+00,-2.07509374430565434e-02,5.29345627410073918e-02,1.77517243477965138e-02,7.35783211122579411e-02,-7.93185618490943102e-04,-7.93185618490943102e-04
-1.69999999999999996e+00,3.71703186926860223e-05,3.71703186841267340e-05,1.12973555682731319e-05,-2.90776643800967052e-06,3.03934859000753510e-01,-7.82281815423715166e-02,2.91421218931896941e+00,-2.22203862506163453e-02,7.39612435075245600e-02,2.40358039702663895e-02,9.48487327984917222e-02,-2.12619229658264084e-05,-2.12619229658264084e-05
-1.64999999999999991e+00,5.01746820772278190e-05,5.01746820561753707e-05,1.64626350403143261e-05,-4.84425761077595133e-06,3.28106414742854180e-01,-9.65478486809809855e-02,2.89412218971473090e+00,-2.39875455249214040e-02,9.95491217447972698e-02,3.18550942950197383e-02,1.20288430452277786e-01,1.17590595470433022e-03,1.17590595470433022e-03
-1.59999999999999987e+00,6.77287365426345673e-05,6.77287364908538982e-05,2.41566236904023130e-05,-7.97014069664540984e-06,3.56667272150639147e-01,-1.17677386432887290e-01,2.87095078589708708e+00,-2.60756024373013894e-02,1.30120105274180553e-01,4.14373833464167854e-02,1.50181228407053891e-01,2.94293466491206282e-03,2.94293466491206282e-03
-1.54999999999999982e+00,9.14242316055333332e-05,9.14242314781734322e-05,3.56384802523442809e-05,-1.29430231707968289e-05,3.89814381549956901e-01,-1.41571036053902616e-01,2.84474815853502516e+00,-2.84989558373220445e-02,1.65968833782385444e-01,5.29983037077408556e-02,1.84662817633395038e-01,5.43493822127761542e-03,5.43493822127761542e-03
