iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.11100118554047071e-03,6.23503150994608041e-03,1.40031482592855983e+00,1.12740998893795881e+03,1.12740998893795881e+03,5.26000000000000000e+02,1.70000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,6.38604530418345829e-04,3.19766887078878686e-03,1.38777992497564506e+00,1.12836175615166167e+03,1.12836175615166167e+03,5.26000000000000000e+02,1.70000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,2.32548590359232051e-04,2.34235557834297156e-03,1.38778544462823428e+00,1.12864371896739499e+03,1.12864371896739499e+03,5.28000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,3.53978839074656887e-04,3.03372899168125520e-03,1.38778416224812040e+00,1.12858634432853205e+03,1.12858634432853205e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,6.85130560446015627e-05,4.67368179651613913e-04,1.38779369148970821e+00,1.12868331391484958e+03,1.12868331391484958e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,4.77723233367002446e-05,2.86381352833235605e-04,1.38779225730213218e+00,1.12868142523492747e+03,1.12868142523492747e+03,5.28000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,1.38174698588396646e-05,1.22388851729047555e-04,1.38779306273619585e+00,1.12868343862452230e+03,1.12868343862452230e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,9.07446747547316019e-06,5.23608138742305695e-05,1.38779272699739131e+00,1.12868343190556857e+03,1.12868343190556857e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,5.84664407474819655e-06,3.14990992890928957e-05,1.38779279443487047e+00,1.12868355432455314e+03,1.12868355432455314e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,6.25151809204446687e-06,3.44948436477780532e-05,1.38779279081551743e+00,1.12868354731172167e+03,1.12868354731172167e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.10000000000000000e+01,5.75372907165930161e-07,1.98377120601196594e-06,1.38779290327947202e+00,1.12868358030582544e+03,1.12868358030582544e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.20000000000000000e+01,3.50217728694567638e-07,1.05363016930227326e-06,1.38779290685613765e+00,1.12868358022756456e+03,1.12868358022756456e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.30000000000000000e+01,1.25028450707136871e-07,4.38408676991800018e-07,1.38779291558630957e+00,1.12868358019478796e+03,1.12868358019478796e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.40000000000000000e+01,4.53959756378029502e-09,2.35710260457619490e-08,1.38779291259569315e+00,1.12868358018060280e+03,1.12868358018060280e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.50000000000000000e+01,4.19129617490195492e-09,1.91090019760927563e-08,1.38779291259426829e+00,1.12868358018065351e+03,1.12868358018065351e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.60000000000000000e+01,7.30240809744814722e-11,3.86689545681904665e-10,1.38779291255197568e+00,1.12868358018067534e+03,1.12868358018067534e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.70000000000000000e+01,4.49236573528179117e-11,2.86657281900804388e-10,1.38779291255181447e+00,1.12868358018067124e+03,1.12868358018067124e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.80000000000000000e+01,2.59994716553486543e-11,1.97323253968453220e-10,1.38779291255177650e+00,1.12868358018067170e+03,1.12868358018067170e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
1.90000000000000000e+01,7.26993131056378572e-12,2.42881885547631520e-11,1.38779291255156334e+00,1.12868358018067192e+03,1.12868358018067192e+03,5.27000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
