q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
1.92000000000000000e+02,8.00000000000000000e+00,3.46410161513775439e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.20000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-6.39366473476113395e+00,-6.39366473476113395e+00,0.00000000000000000e+00
1.90000000000000000e+02,4.80000000000000000e+01,3.44601218802255538e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.37109102438648733e+00,-6.37109102438648733e+00,0.00000000000000000e+00
1.89000000000000000e+02,1.92000000000000000e+02,3.43693177121688009e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.35975457534780997e+00,-6.35975457534780997e+00,0.00000000000000000e+00
2.04000000000000000e+02,4.80000000000000000e+01,3.57071421427142521e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.33953470405717656e+00,-6.33953470405717656e+00,0.00000000000000000e+00
1.87000000000000000e+02,4.80000000000000000e+01,3.41869858279433592e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.33698111326068769e+00,-6.33698111326068769e+00,0.00000000000000000e+00
1.86000000000000000e+02,1.44000000000000000e+02,3.40954542424646379e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.32554353837252936e+00,-6.32554353837252936e+00,0.00000000000000000e+00
1.85000000000000000e+02,1.92000000000000000e+02,3.40036762718386099e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.68000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.31407168657266560e+00,-6.31407168657266560e+00,0.00000000000000000e+00
1.84000000000000000e+02,4.80000000000000000e+01,3.39116499156263407e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.30256526714614118e+00,-6.30256526714614118e+00,0.00000000000000000e+00
1.82000000000000000e+02,1.44000000000000000e+02,3.37268439080801041e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.27944754220099721e+00,-6.27944754220099721e+00,0.00000000000000000e+00
1.81000000000000000e+02,1.20000000000000000e+02,3.36340601176842746e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.26783563466129579e+00,-6.26783563466129579e+00,0.00000000000000000e+00
1.80000000000000000e+02,7.20000000000000000e+01,3.35410196624968471e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.25618795528900851e+00,-6.25618795528900851e+00,0.00000000000000000e+00
1.79000000000000000e+02,1.20000000000000000e+02,3.34477204006491302e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.24450419228652454e+00,-6.24450419228652454e+00,0.00000000000000000e+00
1.78000000000000000e+02,9.60000000000000000e+01,3.33541601603158355e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.23278402938660392e+00,-6.23278402938660392e+00,0.00000000000000000e+00
1.77000000000000000e+02,4.80000000000000000e+01,3.32603367391251759e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.22102714576306237e+00,-6.22102714576306237e+00,0.00000000000000000e+00
1.76000000000000000e+02,2.40000000000000000e+01,3.31662479035539981e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-6.20923321593900290e+00,-6.20923321593900290e+00,0.00000000000000000e+00
1.74000000000000000e+02,1.44000000000000000e+02,3.29772648956822989e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-6.18553289196140543e+00,-6.18553289196140543e+00,0.00000000000000000e+00
