iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.20247673312062055e-02,7.79116866316960713e-03,1.38599169157086166e+00,1.12720194753464011e+03,1.12720194753464011e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,1.32148603987237573e-02,4.67470119790175560e-03,1.38599169157086166e+00,1.12720194753464011e+03,1.12720194753464011e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,7.94113784238860366e-15,2.76978365406377667e-15,1.38599169157086166e+00,1.12720194753464011e+03,1.12720194753464011e+03,5.25000000000000000e+02,1.69000000000000000e+02,0.00000000000000000e+00
