q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_level1,eps_level2,eps_extrapolated,interpolated
1.14000000000000000e+02,9.60000000000000000e+01,1.33463478150391390e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.84000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.89195457372869336e+00,-1.89175476018042898e+00,-1.89170256144835180e+00,-1.89168473418622862e+00,0.00000000000000000e+00
1.13000000000000000e+02,9.60000000000000000e+01,1.32876822659183125e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.84000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.88467542367353880e+00,-1.88447513505796760e+00,-1.88442282722486665e+00,-1.88440496543684111e+00,0.00000000000000000e+00
2.40000000000000000e+01,2.40000000000000000e+01,6.12372435695794470e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.87907154232660956e+00,-1.87942919827963029e+00,-1.87951861139521759e+00,-1.87954841560085772e+00,0.00000000000000000e+00
1.10000000000000000e+02,1.44000000000000000e+02,1.31101106021268943e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,5.76000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.86261960396390824e+00,-1.86241793195642824e+00,-1.86236530747681583e+00,-1.86234734570213689e+00,0.00000000000000000e+00
1.00000000000000000e+00,6.00000000000000000e+00,1.25000000000000000e-01,1.00000000000000000e+00,1.00000000000000000e+00,-2.00000000000000000e+00,-1.00000000000000000e+00,2.40000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.85839978595889033e+00,-1.85840041121385791e+00,-1.85840011955966911e+00,-1.85839993701438133e+00,0.00000000000000000e+00
1.09000000000000000e+02,7.20000000000000000e+01,1.30503831361381883e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.85519313998764424e+00,-1.85499102116038705e+00,-1.85493829477953764e+00,-1.85492030090515270e+00,0.00000000000000000e+00
3.00000000000000000e+00,8.00000000000000000e+00,2.16506350946109649e-01,-1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,3.20000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.85025921031141682e+00,-1.85051285627351425e+00,-1.85057625125421477e+00,-1.85059737976971994e+00,0.00000000000000000e+00
6.00000000000000000e+00,2.40000000000000000e+01,3.06186217847897235e-01,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.84978705475208183e+00,-1.84986766583964601e+00,-1.84988708962676540e+00,-1.84989342536822954e+00,0.00000000000000000e+00
2.20000000000000000e+01,2.40000000000000000e+01,5.86301969977928716e-01,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,9.60000000000000000e+01,1.00000000000000000e+00,0.00000000000000000e+00,-1.84784653629992257e+00,-1.84819386412914888e+00,-1.84828069648751048e+00,-1.84830964068335568e+00,0.00000000000000000e+00
1.08000000000000000e+02,3.20000000000000000e+01,1.29903810567665801e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,1.28000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.84772851609237021e+00,-1.84752595779480155e+00,-1.84747313138592650e+00,-1.84745510604306640e+00,0.00000000000000000e+00
1.07000000000000000e+02,7.20000000000000000e+01,1.29301005409857517e+00,1.00000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,-1.00000000000000000e+00,2.88000000000000000e+02,1.00000000000000000e+00,0.00000000000000000e+00,-1.84022517422914600e+00,-1.84002218393169592e+00,-1.83996925939879019e+00,-1.83995120322905170e+00,0.00000000000000000e+00
