y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-2.53125000000000000e+00,2.53601931014969519e-07,2.53601931014966819e-07,4.33618180355769945e-06,-2.84919687656049427e-06,1.70983784950036188e+01,-1.12349179091713740e+01,8.29088574450080884e-01,-1.73406295550979778e-02,3.82027209771630893e+00,1.90264916221507097e-01,5.76681465005988958e+00,8.11839619837828930e-01,8.11839619837828930e-01
-2.48437500000000000e+00,3.35967972992843540e-07,3.35967972992837240e-07,5.35072758254469107e-06,-3.67957512455558995e-06,1.59263025427092355e+01,-1.09521603853413669e+01,8.33390029242491948e-01,-1.61519475461510617e-02,3.82763022512991880e+00,9.24391997962610956e-01,5.40221538591546224e+00,7.83749181745904244e-01,7.83749181745904244e-01
-2.43750000000000000e+00,4.45085250041956611e-07,4.45085250041941894e-07,6.62182131723378279e-06,-4.72559391241005295e-06,1.48776471846905398e+01,-1.06172781775283358e+01,8.38484431888897319e-01,-1.50884347633638196e-02,3.83519143264536178e+00,1.43290807103333684e+00,5.08504151984615582e+00,7.45187673466036538e-01,7.45187673466036538e-01
-2.39062500000000000e+00,5.89642155590625023e-07,5.89642155590590824e-07,8.21197436896743072e-06,-6.03876250293694235e-06,1.39270476018497060e+01,-1.02414022567441148e+01,8.44202452258114078e-01,-1.41243670170514788e-02,3.83771071299524547e+00,1.77490042316724828e+00,4.80084151161447803e+00,6.99437329423774790e-01,6.99437329423774790e-01
-2.34375000000000000e+00,7.81148940830528507e-07,7.81148940830449097e-07,1.01973857420651421e-05,-7.68101570822378911e-06,1.30543424039264231e+01,-9.83297205787414264e+00,8.50415705269025657e-01,-1.32392972689219547e-02,3.83101304590217406e+00,1.99381218410394490e+00,4.53907158938171396e+00,6.49013949490923836e-01,6.49013949490923836e-01
-2.29687500000000000e+00,1.03485421110955996e-06,1.03485421110937531e-06,1.26702505027905120e-05,-9.72613988085315167e-06,1.22435125322704756e+01,-9.39856047010391826e+00,8.57024200706326789e-01,-1.24169795011463743e-02,3.81180286549060154e+00,2.12161042080325890e+00,4.29212060901811387e+00,5.95869637421025722e-01,5.95869637421025722e-01
-2.25000000000000000e+00,1.37095908638451390e-06,1.37095908638408445e-06,1.57412529428402611e-05,-1.22611652589918972e-05,1.14819275784209847e+01,-8.94349465331662152e+00,8.63946899037986493e-01,-1.16446043567255460e-02,3.77756661156099494e+00,2.18185308484436780e+00,4.05461324156604785e+00,5.41543848221631707e-01,5.41543848221631707e-01
-2.20312500000000000e+00,1.81622570248348358e-06,1.81622570248248514e-06,1.95422120345689157e-05,-1.53876536276620525e-05,1.07597926886828503e+01,-8.47232456111023779e+00,8.71114583998972902e-01,-1.09122382077705572e-02,3.72652727704622633e+00,2.19194762914192998e+00,3.82290757150548188e+00,4.87272835167304186e-01,4.87272835167304186e-01
-2.15625000000000000e+00,2.40610812906274511e-06,2.40610812906042339e-06,2.42288396065504688e-05,-1.92228000150963616e-05,1.00697218524471488e+01,-7.98916714628398505e+00,8.78464626358032574e-01,-1.02123903981413220e-02,3.65762233462343200e+00,2.16481443815961105e+00,3.59472359559046462e+00,4.34065248007863613e-01,4.34065248007863613e-01
-2.10937500000000000e+00,3.18757537723827346e-06,3.18757537723287532e-06,2.99835667189742701e-05,-2.39002601432511093e-05,9.40638672676751320e+00,-7.49794351969140216e+00,8.85937376133640875e-01,-9.53965709254417718e-03,3.57048508293001321e+00,2.11011022419013239e+00,3.36885683493571353e+00,3.82750708791953220e-01,3.82750708791953220e-01
-2.06250000000000000e+00,4.22285127707007759e-06,4.22285127705752711e-06,3.70183915144483945e-05,-2.95706123931173596e-05,8.76620773162599320e+00,-7.00252281054096137e+00,8.93473974116144598e-01,-8.89040799521322554e-03,3.46541611728517207e+00,2.03512468070440145e+00,3.14494596773828894e+00,3.34007885364377088e-01,3.34007885364377088e-01
-2.01562500000000000e+00,5.59436901025371960e-06,5.59436901022453847e-06,4.55777027171602598e-05,-3.64013646402481305e-05,8.14706763780870524e+00,-6.50678648006937799e+00,9.01015373494649774e-01,-8.26249587987834717e-03,3.34333714603879084e+00,1.94543366096577608e+00,2.92327501647224208e+00,2.88378361424778684e-01,2.88378361424778684e-01
-1.96875000000000000e+00,7.41133479951840556e-06,7.41133479945055738e-06,5.59410370683019448e-05,-4.45764226295388905e-05,7.54803805010254791e+00,-6.01462811163835109e+00,9.08502343050182071e-01,-7.65497919775606338e-03,3.20572404682777856e+00,1.84537068299692875e+00,2.70459931358096828e+00,2.46272155091234735e-01,2.46272155091234735e-01
-1.92187500000000000e+00,9.81842338430670386e-06,9.81842338414895244e-06,6.84257362046846541e-05,-5.42949473927726770e-05,6.96911647904208742e+00,-5.52990488069881625e+00,9.15876205419875911e-01,-7.06785542411002710e-03,3.05451992279692064e+00,1.73836317113051875e+00,2.48999048324681604e+00,2.07969939125077330e-01,2.07969939125077330e-01
-1.87500000000000000e+00,1.30072976544344044e-05,1.30072976540676205e-05,8.33894784998753672e-05,-6.57695440296193138e-05,6.41097641628874015e+00,-5.05635726795657536e+00,9.23080058462137032e-01,-6.50180759268009691e-03,2.89203190832017887e+00,1.62716869153902444e+00,2.28069938150734419e+00,1.73625886594767326e-01,1.73625886594767326e-01
-1.82812500000000000e+00,1.72318696852113095e-05,1.72318696843585133e-05,1.01232673730240077e-04,-7.92237421519814819e-05,5.87473533543081938e+00,-4.59751284121498660e+00,9.30060238977387654e-01,-5.95796900950100981e-03,2.72081751246508707e+00,1.51403819718041732e+00,2.07803778245225779e+00,1.43273730285705281e-01,1.43273730285705281e-01
-1.78125000000000000e+00,2.28285183242229577e-05,2.28285183222401451e-05,1.22400722532695695e-04,-9.48887484090402838e-05,5.36174625111125636e+00,-4.15658813549003536e+00,9.36767815358886091e-01,-5.43771185882477304e-03,2.54356735255640354e+00,1.40082704209644748e+00,1.88328007481704951e+00,1.16837259500385371e-01,1.16837259500385371e-01
