iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,4.46513058259535433e-04,6.83885581885664874e-03,7.54668282253662670e-01,5.21724040132793675e+02,5.21724040132793675e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
2.00000000000000000e+00,2.69644515424207745e-04,4.20712066062286019e-03,7.54675576026343831e-01,5.21724518402769604e+02,5.21724518402769604e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
3.00000000000000000e+00,7.04853345129614797e-06,2.16365257662911074e-05,7.54687258658718552e-01,5.21724818975117046e+02,5.21724818975117046e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
4.00000000000000000e+00,2.91768942922851560e-08,3.51109760947219741e-07,7.54687385361141994e-01,5.21724819060127061e+02,5.21724819060127061e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
5.00000000000000000e+00,1.06495055924583634e-08,1.73676973451419150e-07,7.54687384105030334e-01,5.21724819060113418e+02,5.21724819060113418e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
6.00000000000000000e+00,1.71541806605601084e-10,2.20112901700458503e-09,7.54687384828851227e-01,5.21724819060109212e+02,5.21724819060109212e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
7.00000000000000000e+00,9.14952949003502742e-11,1.26356398861369484e-09,7.54687384831127517e-01,5.21724819060106256e+02,5.21724819060106256e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
8.00000000000000000e+00,5.76467855961569787e-11,7.67592128526858858e-10,7.54687384830448726e-01,5.21724819060108189e+02,5.21724819060108189e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
9.00000000000000000e+00,3.55715864753852193e-11,4.14897836406137720e-10,7.54687384830740271e-01,5.21724819060107393e+02,5.21724819060107393e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
1.00000000000000000e+01,1.69844214035437270e-12,6.79144331149659991e-12,7.54687384829203833e-01,5.21724819060106825e+02,5.21724819060106825e+02,1.32200000000000000e+03,3.00000000000000000e+02,1.66000000000000000e+02
