excitation,eps_hole,eps_particle,k_hole,k_particle
9.48132007558867285e-02,7.08383696536156071e-01,8.03196897292042800e-01,4.33012701892219298e-01,5.00000000000000000e-01
1.76965409796578377e-01,7.08383696536156071e-01,8.85349106332734448e-01,4.33012701892219298e-01,5.59016994374947451e-01
2.09864253545816282e-01,5.93332643746226518e-01,8.03196897292042800e-01,3.53553390593273786e-01,5.00000000000000000e-01
2.50263187748247740e-01,7.08383696536156071e-01,9.58646884284403811e-01,4.33012701892219298e-01,6.12372435695794470e-01
2.92016462586507930e-01,5.93332643746226518e-01,8.85349106332734448e-01,3.53553390593273786e-01,5.59016994374947451e-01
3.57903697691987821e-01,7.08383696536156071e-01,1.06628739422814389e+00,4.33012701892219298e-01,0.00000000000000000e+00
3.57903697694919476e-01,7.08383696536156071e-01,1.06628739423107555e+00,4.33012701892219298e-01,0.00000000000000000e+00
3.65314240538177293e-01,5.93332643746226518e-01,9.58646884284403811e-01,3.53553390593273786e-01,6.12372435695794470e-01
3.65477763850948378e-01,4.37719133441094421e-01,8.03196897292042800e-01,2.50000000000000000e-01,5.00000000000000000e-01
3.78417545833867441e-01,7.08383696536156071e-01,1.08680124237002351e+00,4.33012701892219298e-01,7.07106781186547573e-01
4.35697488692094570e-01,7.08383696536156071e-01,1.14408118522825064e+00,4.33012701892219298e-01,7.50000000000000000e-01
4.47629972891640027e-01,4.37719133441094421e-01,8.85349106332734448e-01,2.50000000000000000e-01,5.59016994374947451e-01
