iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,8.35950675591322079e-02,7.04099564609259376e-01,6.10907232868971661e+01,6.10907232868971661e+01,7.88000000000000000e+02,1.16620000000000000e+04
1.00000000000000000e+00,6.00000000000024403e-01,5.01570405355637738e-02,7.04099564609091511e-01,6.10907232868623211e+01,6.10907232868623211e+01,9.72000000000000000e+02,1.67790000000000000e+04
2.00000000000000000e+00,3.36918231478628986e-13,1.77034579801671849e-13,7.04099564609727779e-01,6.10907232868403582e+01,6.10907232868403582e+01,9.72000000000000000e+02,2.09810000000000000e+04
