m,node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,norm_hilbert,norm_krein,beta2,beta2_adiabatic
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,2.90646034528980612e+00,2.61015721568253678e+00,1.46779926762206969e-01,3.90620322662367904e-04,2.43865431354843787e-01,0.00000000000000000e+00,2.43865431354730294e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36497023461622446e-01,0.00000000000000000e+00,-4.36497023461642375e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36497023461622446e-01,0.00000000000000000e+00,4.36497023461642375e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43865431354843787e-01,0.00000000000000000e+00,2.43865431354730294e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.90620322662367904e-04,3.90620322819742885e-04,3.90620322819742885e-04,1.00000000040288484e+00,1.00000000040288484e+00,1.32745541809565364e-26,1.32822582697189066e-26
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,2.27079441680638929e+01,6.81292069057961225e+00,2.15443469003188393e-02,1.49653944335388856e-04,2.45733600709389904e-01,0.00000000000000000e+00,2.45733600709276273e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35448042346200381e-01,0.00000000000000000e+00,-4.35448042346220032e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35448042346200381e-01,0.00000000000000000e+00,4.35448042346220032e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.45733600709389904e-01,0.00000000000000000e+00,2.45733600709276273e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.49653944335388856e-04,1.49653944395681908e-04,1.49653944395681935e-04,1.00000000040288328e+00,1.00000000040288328e+00,1.32950845941554535e-26,1.32964814383887551e-26
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,1.57613883008418981e+02,1.77827941003892285e+01,3.16227766016837896e-03,5.73352223522120066e-05,2.50588471088079690e-01,0.00000000000000000e+00,2.50588471087965947e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.32672414487542067e-01,0.00000000000000000e+00,-4.32672414487560775e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.32672414487542067e-01,0.00000000000000000e+00,4.32672414487560775e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.50588471088079690e-01,0.00000000000000000e+00,2.50588471087965947e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.73352223522120066e-05,5.73352223753112998e-05,5.73352223753112930e-05,1.00000000040288128e+00,1.00000000040288128e+00,1.32872865038137979e-26,1.32872865038137979e-26
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,1.07671734501594165e+03,4.64158883361277859e+01,4.64158883361278003e-04,2.19661949892237719e-05,2.63111226786434171e-01,0.00000000000000000e+00,2.63111226786320096e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.25173473349033659e-01,0.00000000000000000e+00,-4.25173473349048980e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.25173473349033659e-01,0.00000000000000000e+00,4.25173473349048980e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.63111226786434171e-01,0.00000000000000000e+00,2.63111226786320096e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.19661949892237719e-05,2.19661949980735416e-05,2.19661949980735416e-05,1.00000000040288128e+00,1.00000000040288128e+00,1.32487879346129864e-26,1.32487879346129864e-26
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,7.33849633811035073e+03,1.21152765862858871e+02,6.81292069057960964e-05,8.41565973775252833e-06,2.94714706087083278e-01,0.00000000000000000e+00,2.94714706086968481e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.03909943077359834e-01,0.00000000000000000e+00,-4.03909943077367217e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.03909943077359834e-01,0.00000000000000000e+00,4.03909943077367217e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.94714706087083278e-01,0.00000000000000000e+00,2.94714706086968481e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.41565973775252833e-06,8.41565974114306569e-06,8.41565974114306569e-06,1.00000000040288439e+00,1.00000000040288439e+00,1.32392476480442724e-26,1.32392610390576182e-26
0.00000000000000000e+00,1.00000000000000000e+00,1.01958045378942029e-03,4.99995000000000000e+04,3.16227766016837961e+02,1.00000000000000008e-05,3.22419649176262194e-06,3.68711485308620579e-01,0.00000000000000000e+00,3.68711485308506559e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.37715621051618342e-01,0.00000000000000000e+00,-3.37715621051603576e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.37715621051618342e-01,0.00000000000000000e+00,3.37715621051603576e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.68711485308620579e-01,0.00000000000000000e+00,3.68711485308506559e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.22419649176262194e-06,3.22419649306161685e-06,3.22419649306161685e-06,1.00000000040288950e+00,1.00000000040288950e+00,1.32185724049135488e-26,1.32185754240641708e-26
0.00000000000000000e+00,2.00000000000000000e+00,1.04876576406032380e-03,-1.21584586355586914e+01,5.24382882030162126e-06,1.00000000000000000e+00,1.99999999999999915e+02,5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.88178419700125997e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.88178419700125997e-20,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,4.99999999999999944e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.99999999999999915e+02,1.99999999999999886e+02,1.99999999999999886e+02,1.00000000000000000e+00,1.00000000000000000e+00,6.16298371064820826e-33,6.16298371064820826e-33
0.00000000000000000e+00,2.00000000000000000e+00,1.04876576406032380e-03,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.04876576406032380e-03,2.43135761405287143e-01,0.00000000000000000e+00,2.43135761405317924e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36903881380608927e-01,0.00000000000000000e+00,-4.36903881380135362e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36903881380608927e-01,0.00000000000000000e+00,4.36903881380135362e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43135761405287143e-01,0.00000000000000000e+00,2.43135761405317924e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.04876576406032380e-03,1.04876576422548553e-03,1.04876576422548553e-03,1.00000000015748203e+00,1.00000000015748203e+00,2.25211018875723413e-25,2.13692768210974670e-25
0.00000000000000000e+00,2.00000000000000000e+00,1.04876576406032380e-03,2.90646034528980612e+00,2.61015721568253678e+00,1.46779926762206969e-01,4.01801760353381356e-04,2.43873204256588899e-01,0.00000000000000000e+00,2.43873204256620457e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36492680677687372e-01,0.00000000000000000e+00,-4.36492680677214029e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.36492680677687372e-01,0.00000000000000000e+00,4.36492680677214029e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.43873204256588899e-01,0.00000000000000000e+00,2.43873204256620457e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.01801760353381356e-04,4.01801760416658051e-04,4.01801760416657997e-04,1.00000000015748225e+00,1.00000000015748225e+00,2.25022914068456660e-25,2.21673633846872600e-25
0.00000000000000000e+00,2.00000000000000000e+00,1.04876576406032380e-03,2.27079441680638929e+01,6.81292069057961225e+00,2.15443469003188393e-02,1.53937762039484371e-04,2.45794764147516609e-01,0.00000000000000000e+00,2.45794764147550221e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35413520641280971e-01,0.00000000000000000e+00,-4.35413520640807850e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35413520641280971e-01,0.00000000000000000e+00,4.35413520640807850e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.45794764147516609e-01,0.00000000000000000e+00,2.45794764147550221e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.53937762039484371e-04,1.53937762063726969e-04,1.53937762063726969e-04,1.00000000015748314e+00,1.00000000015748314e+00,2.24972827563958616e-25,2.24972827563958616e-25
