a,t,H,rho,p,w,KE_H,PE_H,KE_L,PE_L,n_a3,rho_kinetic,p_kinetic,w_kinetic,rel_dev_rho,rel_dev_p,beta2_weighted,beta2_max,beta2_adiabatic_max,norm_dev_max
2.15443469003188381e+00,4.64158883361278001e+01,1.07721734501594162e-02,2.13663006401756729e+03,7.07553283213120380e+02,3.31153855376670803e-01,2.12265984963936125e+03,1.39702143782050143e+01,1.06831503200878365e+03,1.06831503200878365e+03,1.45788110164163186e+03,2.13663008178220616e+03,7.07553289515339202e+02,3.31153855572956624e-01,-8.31432591946316164e-09,-8.90705889558004530e-09,2.94011760748007115e-08,2.77107068954498878e-05,2.04644709645002403e-05,2.15177786699882745e-09
2.32630506715362628e+00,5.41169526546463686e+01,9.23924898711145533e-03,1.57264660719886547e+03,5.20232346587732081e+02,3.30800539807445282e-01,1.56069703976319602e+03,1.19495674356698629e+01,7.86323303599432734e+02,7.86323303599432734e+02,1.45788110167715990e+03,1.57264662107350978e+03,5.20233623425037990e+02,3.30801348792470307e-01,-8.82248060307217413e-09,-2.45435367576326557e-06,2.85554801687719111e-08,2.17991119029088032e-05,2.03284846037506647e-05,1.81200854321161842e-09
2.51188643150958013e+00,6.30957344480193356e+01,7.92446596230556542e-03,1.15763306494898143e+03,3.82474196634055545e+02,3.30393289734611850e-01,1.14742258990216669e+03,1.02104750468148140e+01,5.78816532474490714e+02,5.78816532474490714e+02,1.45788110166062938e+03,1.15763307232545208e+03,3.82473982966312235e+02,3.30393103056393245e-01,-6.37202825736974646e-09,5.58646477475089208e-07,1.94201290105995314e-08,2.37982244606712868e-05,2.03569031695928043e-05,1.77717107696651055e-09
2.71227257933202859e+00,7.35642254459641549e+01,6.79678195439262570e-03,8.52225765341466968e+02,2.81166773248830395e+02,3.29920526559266181e-01,8.43500319746491073e+02,8.72544559497576699e+00,4.26112882670733484e+02,4.26112882670733484e+02,1.45788110170174514e+03,8.52225772145413202e+02,2.81166904960121542e+02,3.29920678475030593e-01,-7.98373677170017200e-09,-4.68445214650034993e-07,2.14954395659387565e-08,1.71881312255605985e-05,2.04273844178905518e-05,1.89078841472678505e-09
2.92864456462523659e+00,8.57695898590894217e+01,5.82957200589915778e-03,6.27464621517345790e+02,2.06670883261859274e+02,3.29374559416727219e-01,6.20012649785577764e+02,7.45197173176809979e+00,3.13732310758672895e+02,3.13732310758672895e+02,1.45788110175979978e+03,6.27464627577367992e+02,2.06670825808326640e+02,3.29374464671068012e-01,-9.65795032108735364e-09,2.77995369733165948e-07,2.78064427903473083e-08,1.68938907001730911e-05,2.04041972291879950e-05,2.16643925021742234e-09
3.16227766016837952e+00,1.00000000000000014e+02,4.99999999999999924e-03,4.62043206963442799e+02,1.51893706313995267e+02,3.28743511482927631e-01,4.55681118941985858e+02,6.36208802145684249e+00,2.31021603481721399e+02,2.31021603481721399e+02,1.45788110179704040e+03,4.62043210005264484e+02,1.51893724661385249e+02,3.28743549027924409e-01,-6.58341388712676154e-09,-1.20790967653936804e-07,1.82377728988304755e-08,2.07744323879183247e-05,2.04218338624375849e-05,2.15763962252424335e-09
3.41454887383360228e+00,1.16591440117983211e+02,4.28847949295446933e-03,3.40285753895528615e+02,1.11619044730519633e+02,3.28015626433740992e-01,3.34857134191558885e+02,5.42861970396966687e+00,1.70142876947764307e+02,1.70142876947764307e+02,1.45788110182122955e+03,3.40285757038872134e+02,1.11619029607556669e+02,3.28015578961790066e-01,-9.23736434650963673e-09,1.35487318039391760e-07,2.47037622225011798e-08,2.02390599228740872e-05,2.03884488905504041e-05,2.98951352561971362e-09
3.68694506451957560e+00,1.35935639087852564e+02,3.67821127229820636e-03,2.50658923618473835e+02,8.20098020952763136e+01,3.27176870112563190e-01,2.46029406285828941e+02,4.62951733264478804e+00,1.25329461809236918e+02,1.25329461809236918e+02,1.45788110183383674e+03,2.50658925883845001e+02,8.20097403580022188e+01,3.27176620855725742e-01,-9.03766405817825949e-09,7.52804164788810319e-07,2.36744314798320704e-08,2.19504669543757992e-05,2.04084433174801089e-05,3.04188074728983793e-09
3.98107170553497403e+00,1.58489319246111450e+02,3.15478672240096427e-03,1.84676937400880831e+02,6.02438203587347658e+01,3.26211930989318166e-01,1.80731461076204283e+02,3.94547632467654497e+00,9.23384687004404157e+01,9.23384687004404157e+01,1.45788110184963853e+03,1.84676938723788851e+02,6.02436524413889245e+01,3.26211019403413682e-01,-7.16336337777855159e-09,2.78730354213971842e-06,2.08334401732699398e-08,1.88659615189295329e-05,2.04019575864702555e-05,3.90537602257268190e-09
4.29866234708227690e+00,1.84784979742229098e+02,2.70584763273231830e-03,1.36096128117072482e+02,4.42451445273866355e+01,3.25102154921895481e-01,1.32735433582159914e+02,3.36069453491259607e+00,6.80480640585362409e+01,6.80480640585362409e+01,1.45788110190206362e+03,1.36096129227820882e+02,4.42450234283791204e+01,3.25101262463638963e-01,-8.16149883340633219e-09,2.73700855218530954e-06,2.10923582306324895e-08,2.14574652903143323e-05,2.04049558655631267e-05,5.94098192863157237e-09
4.64158883361278018e+00,2.15443469003188540e+02,2.32079441680638774e-03,1.00322388528077468e+02,3.24873247526353737e+01,3.23829259144314208e-01,9.74619742579061210e+01,2.86041427017129113e+00,5.01611942640387340e+01,5.01611942640387340e+01,1.45788110196469779e+03,1.00322389333783676e+02,3.24871844614964473e+01,3.23827858140499358e-01,-8.03117043842364189e-09,4.31835325996321536e-06,2.04194902980628107e-08,2.13167079672564377e-05,2.04037429520563327e-05,7.67042607208168192e-09
5.01187233627272377e+00,2.51188643150958086e+02,1.99053585276748584e-03,7.39752377236357290e+01,2.38473692072274197e+01,3.22369619092254422e-01,7.15421076216822627e+01,2.43313010195346235e+00,3.69876188618178645e+01,3.69876188618178645e+01,1.45788110200914684e+03,7.39752383979317045e+01,2.38473408396863427e+01,3.22369232680338291e-01,-9.11515785691641519e-09,1.18954734902085429e-06,2.26794710752400925e-08,2.00302510556742623e-05,2.04002307097448243e-05,9.40887656675215567e-09
