m,node,k,t0,a_end,beta2_initial,beta2_kink,beta2_adiabatic_kink,beta2_end,beta2_adiabatic_end,beta2_kink_tail_theory
0.00000000000000000e+00,4.20000000000000000e+01,2.67399945190777633e+00,-4.31474209283921972e+00,3.16227766016837961e+02,6.16298371064820826e-33,1.52579873877112096e-29,1.52579873877112096e-29,3.73779852567083281e-25,3.73779852567083419e-25,0.00000000000000000e+00
0.00000000000000000e+00,4.30000000000000000e+01,3.33825861500252241e+00,-4.09286806827519722e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,4.40000000000000000e+01,4.13979687115265715e+00,-3.87767064485350899e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.04916631936651190e-35,3.08148790651807300e-33,3.08148790651807300e-33,0.00000000000000000e+00
0.00000000000000000e+00,4.50000000000000000e+01,5.09702542480015275e+00,-3.66966024701341231e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.33597581321446115e-43,0.00000000000000000e+00
0.00000000000000000e+00,4.60000000000000000e+01,6.22757563998749220e+00,-3.46933025234355652e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,8.19491427403027114e-36,3.08148790641868139e-33,3.08148790641868139e-33,0.00000000000000000e+00
0.00000000000000000e+00,4.70000000000000000e+01,7.54708612615929475e+00,-3.27715582133754557e+00,3.16227766016837961e+02,0.00000000000000000e+00,6.16297581996944648e-33,6.17057441379950977e-33,4.81482484896937104e-35,4.81482484896937104e-35,0.00000000000000000e+00
0.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,-3.09359277035515978e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,4.90000000000000000e+01,1.07967037162728214e+01,-2.91907649046057882e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,9.07101165815662810e-37,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,5.00000000000000000e+01,1.27342657645902868e+01,-2.75402091469900112e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.85185988799273806e-33,3.85185988799273806e-33,3.85185988733934434e-33,3.85185988733934434e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.10000000000000000e+01,1.48722911947225658e+01,-2.59881753625585743e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
0.00000000000000000e+00,5.20000000000000000e+01,1.71926658141778326e+01,-2.45383447981803604e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08148790073140962e-33,3.08148790073140962e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.30000000000000000e+01,1.96662061374947257e+01,-2.31941562832215942e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08148789007105892e-33,3.08129794592206469e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.40000000000000000e+01,2.22521261070736998e+01,-2.19587980712681263e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
