node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,s,norm_hilbert,norm_krein,beta2,beta2_adiabatic
0.00000000000000000e+00,7.37395648544358906e-02,1.00000000000000000e+01,1.00000000000000000e+00,5.00000000000000028e-02,7.37395648544358906e-02,5.00000000000000000e-01,0.00000000000000000e+00,3.67699492244584758e-02,0.00000000000000000e+00,-4.98646137891421759e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,3.67699492244584758e-02,0.00000000000000000e+00,-4.98646137891421759e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00271507589390585e+00,1.00271507589390607e+00,5.42280011106254130e-03,9.97292275782843518e-01,1.00000000000000022e+00,1.00000000000000022e+00,6.16297582203915336e-33,8.35903029264119051e-07
0.00000000000000000e+00,7.37395648544358906e-02,1.16591440117983165e+01,1.07977516232770965e+00,4.28847949295447090e-02,6.82915920157608491e-02,-4.61907197882274398e-02,0.00000000000000000e+00,-2.46443575058134324e-03,0.00000000000000000e+00,4.61344046781870590e-02,0.00000000000000000e+00,9.34956696817243254e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.97858960384674865e-01,0.00000000000000000e+00,3.52025276905946205e-02,0.00000000000000000e+00,-4.96614866172899350e-01,0.00000000000000000e+00,1.41379787271580788e-03,-4.97858960384674865e-01,0.00000000000000000e+00,-3.52025276905946205e-02,0.00000000000000000e+00,4.96614866172899350e-01,0.00000000000000000e+00,1.41379787271580788e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.61907197882274398e-02,0.00000000000000000e+00,-2.46443575058134324e-03,0.00000000000000000e+00,4.61344046781870590e-02,0.00000000000000000e+00,-9.34956696817243254e-04,1.00232915828087488e+00,1.00232386703837673e+00,4.61500406648495450e-03,9.97708862971891985e-01,9.99999999993253730e-01,9.99999999993253730e-01,2.63947012433488669e-06,8.40464190852022026e-07
0.00000000000000000e+00,7.37395648544358906e-02,1.35935639087852582e+01,1.16591440117983169e+00,3.67821127229820619e-02,6.32461223395269084e-02,-4.47952583350238187e-01,0.00000000000000000e+00,-3.09533365771614728e-02,0.00000000000000000e+00,4.46886323040912914e-01,0.00000000000000000e+00,1.99445133652892317e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.22111317140356812e-01,0.00000000000000000e+00,-1.53033862828314791e-02,0.00000000000000000e+00,2.21585901177992789e-01,0.00000000000000000e+00,-1.03345573715235822e-03,2.22111317140356812e-01,0.00000000000000000e+00,1.53033862828314791e-02,0.00000000000000000e+00,-2.21585901177992789e-01,0.00000000000000000e+00,-1.03345573715235822e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.47952583350238187e-01,0.00000000000000000e+00,-3.09533365771614728e-02,0.00000000000000000e+00,4.46886323040912914e-01,0.00000000000000000e+00,-1.99445133652892317e-03,1.00199803991374470e+00,1.00199695843619807e+00,4.08428029099361552e-03,9.97912678145204457e-01,9.99999999995483280e-01,9.99999999995483280e-01,5.39658251708714013e-07,7.81607043316364042e-07
0.00000000000000000e+00,7.37395648544358906e-02,1.58489319246111364e+01,1.25892541179416728e+00,3.15478672240096583e-02,5.85734183801607244e-02,4.56173701051307834e-01,0.00000000000000000e+00,2.98542776890957720e-02,0.00000000000000000e+00,-4.55210805824629028e-01,0.00000000000000000e+00,-3.70271589478155709e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.04667338385974146e-01,0.00000000000000000e+00,-1.32882457694590058e-02,0.00000000000000000e+00,2.04243156281976951e-01,0.00000000000000000e+00,-1.76775610727737892e-03,2.04667338385974146e-01,0.00000000000000000e+00,1.32882457694590058e-02,0.00000000000000000e+00,-2.04243156281976951e-01,0.00000000000000000e+00,-1.76775610727737892e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.56173701051307834e-01,0.00000000000000000e+00,2.98542776890957720e-02,0.00000000000000000e+00,-4.55210805824629028e-01,0.00000000000000000e+00,3.70271589478155709e-03,1.00171395385146633e+00,1.00171302126495987e+00,3.34848719498935738e-03,9.98364534069970500e-01,9.99999999997996936e-01,9.99999999997996936e-01,4.65494413942005817e-07,8.55340310658697072e-07
0.00000000000000000e+00,7.37395648544358906e-02,1.84784979742229112e+01,1.35935639087852578e+00,2.70584763273231804e-02,5.42459397323901485e-02,-2.99059498691136683e-01,0.00000000000000000e+00,-1.86054504241479936e-02,0.00000000000000000e+00,2.98499510108679478e-01,0.00000000000000000e+00,3.39655166498027206e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.00668442853552353e-01,0.00000000000000000e+00,2.53922329484595165e-02,0.00000000000000000e+00,-3.99883875875890304e-01,0.00000000000000000e+00,4.08394183889501747e-03,-4.00668442853552353e-01,0.00000000000000000e+00,-2.53922329484595165e-02,0.00000000000000000e+00,3.99883875875890304e-01,0.00000000000000000e+00,4.08394183889501747e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.99059498691136683e-01,0.00000000000000000e+00,-1.86054504241479936e-02,0.00000000000000000e+00,2.98499510108679478e-01,0.00000000000000000e+00,-3.39655166498027206e-03,1.00147023020030423e+00,1.00146797524063125e+00,2.84054124773211892e-03,9.98627433992899216e-01,1.00000000000096212e+00,1.00000000000096212e+00,1.12582509612355909e-06,8.51434492104534755e-07
0.00000000000000000e+00,7.37395648544358906e-02,2.15443469003188426e+01,1.46779926762206969e+00,2.32079441680638904e-02,5.02381807111123499e-02,2.69634619096584760e-01,0.00000000000000000e+00,1.61941775820768769e-02,0.00000000000000000e+00,-2.69172545942979458e-01,0.00000000000000000e+00,-3.64459347862215038e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.21019720095973826e-01,0.00000000000000000e+00,-2.58487967224297378e-02,0.00000000000000000e+00,4.20256741566541414e-01,0.00000000000000000e+00,-5.12683278771615836e-03,4.21019720095973826e-01,0.00000000000000000e+00,2.58487967224297378e-02,0.00000000000000000e+00,-4.20256741566541414e-01,0.00000000000000000e+00,-5.12683278771615836e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.69634619096584760e-01,0.00000000000000000e+00,1.61941775820768769e-02,0.00000000000000000e+00,-2.69172545942979458e-01,0.00000000000000000e+00,3.64459347862215038e-03,1.00126114216080642e+00,1.00125891676097956e+00,2.43429175317415878e-03,9.98824625007805444e-01,1.00000000000443934e+00,1.00000000000443934e+00,1.11130062770612362e-06,8.42346050102415958e-07
0.00000000000000000e+00,7.37395648544358906e-02,2.51188643150958022e+01,1.58489319246111360e+00,1.99053585276748601e-02,4.65265200236798515e-02,-4.22499480052568599e-01,0.00000000000000000e+00,-2.50802005501467792e-02,0.00000000000000000e+00,4.21797195131018821e-01,0.00000000000000000e+00,6.00663261222709067e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.67287622519453483e-01,0.00000000000000000e+00,1.57380030481543941e-02,0.00000000000000000e+00,-2.66852815203646565e-01,0.00000000000000000e+00,3.92894005471262648e-03,-2.67287622519453483e-01,0.00000000000000000e+00,-1.57380030481543941e-02,0.00000000000000000e+00,2.66852815203646565e-01,0.00000000000000000e+00,3.92894005471262648e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.22499480052568599e-01,0.00000000000000000e+00,-2.50802005501467792e-02,0.00000000000000000e+00,4.21797195131018821e-01,0.00000000000000000e+00,-6.00663261222709067e-03,1.00108177341589522e+00,1.00108040617878924e+00,2.08828061880594147e-03,9.98992125559983180e-01,1.00000000000834022e+00,1.00000000000834022e+00,6.82884001840574684e-07,8.36722003899948423e-07
0.00000000000000000e+00,7.37395648544358906e-02,2.92864456462523677e+01,1.71132830416178083e+00,1.70727443691680060e-02,4.30890815485892309e-02,4.46618754954683839e-01,0.00000000000000000e+00,2.63132437138275041e-02,0.00000000000000000e+00,-4.45891031628661894e-01,0.00000000000000000e+00,-6.54878647866301202e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.24675406307140918e-01,0.00000000000000000e+00,1.34064994815839469e-02,0.00000000000000000e+00,-2.24296827648764546e-01,0.00000000000000000e+00,3.12456754943397788e-03,-2.24675406307140918e-01,0.00000000000000000e+00,-1.34064994815839469e-02,0.00000000000000000e+00,2.24296827648764546e-01,0.00000000000000000e+00,3.12456754943397788e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.46618754954683839e-01,0.00000000000000000e+00,2.63132437138275041e-02,0.00000000000000000e+00,-4.45891031628661894e-01,0.00000000000000000e+00,6.54878647866301202e-03,1.00092790397146025e+00,1.00092655541718312e+00,1.92060499831896527e-03,9.99005950418863975e-01,1.00000000001305978e+00,1.00000000001305978e+00,6.73658584097806693e-07,8.18598255495313641e-07
0.00000000000000000e+00,7.37395648544358906e-02,3.41454887383360202e+01,1.84784979742229094e+00,1.46432228231261809e-02,3.99056054000173216e-02,2.89211868810537065e-01,0.00000000000000000e+00,1.59954240005760230e-02,0.00000000000000000e+00,-2.88817605378313080e-01,0.00000000000000000e+00,-5.28750456613446759e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.07771722531956482e-01,0.00000000000000000e+00,-2.28822092986300449e-02,0.00000000000000000e+00,4.07191529549430054e-01,0.00000000000000000e+00,-7.12457314595422997e-03,4.07771722531956482e-01,0.00000000000000000e+00,2.28822092986300449e-02,0.00000000000000000e+00,-4.07191529549430054e-01,0.00000000000000000e+00,-7.12457314595422997e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.89211868810537065e-01,0.00000000000000000e+00,1.59954240005760230e-02,0.00000000000000000e+00,-2.88817605378313080e-01,0.00000000000000000e+00,5.28750456613446759e-03,1.00079591193326811e+00,1.00079406788051273e+00,1.52097726863788664e-03,9.99273090611874970e-01,1.00000000001844613e+00,1.00000000001844613e+00,9.21302332522100058e-07,8.31100231353918068e-07
0.00000000000000000e+00,7.37395648544358906e-02,3.98107170553497340e+01,1.99526231496887996e+00,1.25594321575478972e-02,3.69573285182735536e-02,1.55444562119304644e-03,0.00000000000000000e+00,-4.23652797528348865e-04,0.00000000000000000e+00,-1.58990603196777942e-03,0.00000000000000000e+00,-5.39427190722962580e-04,0.00000000000000000e+00,0.00000000000000000e+00,4.99912616952881528e-01,0.00000000000000000e+00,-2.75869093573832616e-02,0.00000000000000000e+00,4.99235670956536481e-01,0.00000000000000000e+00,-9.20152892938089738e-03,4.99912616952881528e-01,0.00000000000000000e+00,2.75869093573832616e-02,0.00000000000000000e+00,-4.99235670956536481e-01,0.00000000000000000e+00,-9.20152892938089738e-03,0.00000000000000000e+00,0.00000000000000000e+00,-1.55444562119304644e-03,0.00000000000000000e+00,-4.23652797528348865e-04,0.00000000000000000e+00,-1.58990603196777942e-03,0.00000000000000000e+00,5.39427190722962580e-04,1.00068268903344570e+00,1.00068058979890662e+00,1.35940827384638729e-03,9.99321181525060331e-01,1.00000000002479794e+00,1.00000000002479794e+00,1.04891359508136207e-06,8.25748556402605714e-07
