m,node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,norm_hilbert,norm_krein,beta2,beta2_adiabatic
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,1.82079441680638965e+00,2.15443469003188381e+00,2.15443469003188365e-01,2.93761575236524963e-01,2.03084601274071852e-01,0.00000000000000000e+00,-2.02162820429486551e-01,0.00000000000000000e+00,1.84863877246879055e-01,0.00000000000000000e+00,-1.83850765024543755e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.45288689183098851e-01,0.00000000000000000e+00,3.44104014429746974e-01,0.00000000000000000e+00,-2.37798167001214589e-01,0.00000000000000000e+00,-2.36074696013804486e-01,3.45288689183098851e-01,0.00000000000000000e+00,-3.44104014429738203e-01,0.00000000000000000e+00,2.37798167001219307e-01,0.00000000000000000e+00,-2.36074696013804486e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.03084601274084259e-01,0.00000000000000000e+00,-2.02162820429486551e-01,0.00000000000000000e+00,1.84863877246879055e-01,0.00000000000000000e+00,1.83850765024534818e-01,1.04225518136656170e+00,-1.03417089962373154e+00,-8.19546437286622770e-02,1.00000000020221913e+00,1.00000000020221935e+00,3.87826421805824223e-03,5.80997880661836708e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,1.02721734501594213e+01,4.64158883361277930e+00,4.64158883361277808e-02,1.36352044736235439e-01,-3.46892101877496029e-01,0.00000000000000000e+00,3.45138947942234653e-01,0.00000000000000000e+00,-3.51498011886004880e-01,0.00000000000000000e+00,3.49767945074323738e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.88379394784662862e-02,0.00000000000000000e+00,-5.85263079531576635e-02,0.00000000000000000e+00,6.24733989909297960e-02,0.00000000000000000e+00,6.21799902061411086e-02,-5.88379394784662862e-02,0.00000000000000000e+00,5.85263079531592872e-02,0.00000000000000000e+00,-6.24733989909255008e-02,0.00000000000000000e+00,6.21799902061411086e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.46892101877510406e-01,0.00000000000000000e+00,3.45138947942234653e-01,0.00000000000000000e+00,-3.51498011886004880e-01,0.00000000000000000e+00,-3.49767945074310138e-01,1.00925312984590354e+00,-9.97866595550121693e-01,1.99498868963104460e-03,1.00000000020240831e+00,1.00000000020240809e+00,5.64106969848924850e-03,5.63123396627035391e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,4.95000000000000213e+01,1.00000000000000018e+01,9.99999999999999500e-03,6.32890128287980358e-02,1.04033490320241589e-01,0.00000000000000000e+00,-1.03569663324787481e-01,0.00000000000000000e+00,9.30254811908479140e-02,0.00000000000000000e+00,-9.25064765504970132e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.75371488975317358e-01,0.00000000000000000e+00,-3.73869185595262610e-01,0.00000000000000000e+00,3.01399098873116000e-01,0.00000000000000000e+00,2.99526008893427009e-01,-3.75371488975317358e-01,0.00000000000000000e+00,3.73869185595243014e-01,0.00000000000000000e+00,-3.01399098873131099e-01,0.00000000000000000e+00,2.99526008893427009e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.04033490320238203e-01,0.00000000000000000e+00,-1.03569663324787481e-01,0.00000000000000000e+00,9.30254811908479140e-02,0.00000000000000000e+00,9.25064765504931275e-02,1.00200074807599004e+00,-9.90738116637532529e-01,-1.32229020051078845e-02,1.00000000020471580e+00,1.00000000020471580e+00,5.62007147345132928e-03,5.61561235562987870e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,2.31579441680639093e+02,2.15443469003188426e+01,2.15443469003188254e-03,2.93761575236524894e-02,1.09075158889926582e-01,0.00000000000000000e+00,-1.08565643911843354e-01,0.00000000000000000e+00,1.02175681809196103e-01,0.00000000000000000e+00,-1.01631583202788811e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.68135570580658045e-01,0.00000000000000000e+00,-3.66612355076795848e-01,0.00000000000000000e+00,3.05563433950983232e-01,0.00000000000000000e+00,3.03726575617131067e-01,-3.68135570580658045e-01,0.00000000000000000e+00,3.66612355076778584e-01,0.00000000000000000e+00,-3.05563433950998942e-01,0.00000000000000000e+00,3.03726575617131067e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.09075158889922461e-01,0.00000000000000000e+00,-1.08565643911843354e-01,0.00000000000000000e+00,1.02175681809196103e-01,0.00000000000000000e+00,1.01631583202787354e-01,1.00043138626837091e+00,-9.89193557170686688e-01,-5.12471199967527453e-03,1.00000000021612045e+00,1.00000000021612068e+00,5.61649177830509522e-03,5.61595031879251992e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,1.07671734501594369e+03,4.64158883361278285e+01,4.64158883361277081e-04,1.36352044736235325e-02,-1.69284600238016114e-01,0.00000000000000000e+00,1.68417457527090420e-01,0.00000000000000000e+00,-1.73851751037533142e-01,0.00000000000000000e+00,1.73007501169650940e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.37127660261852202e-01,0.00000000000000000e+00,3.35729224907248547e-01,0.00000000000000000e+00,-2.80529884809971541e-01,0.00000000000000000e+00,-2.78847753110298524e-01,3.37127660261852202e-01,0.00000000000000000e+00,-3.35729224907222845e-01,0.00000000000000000e+00,2.80529884809978425e-01,0.00000000000000000e+00,-2.78847753110298524e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.69284600237993327e-01,0.00000000000000000e+00,1.68417457527090420e-01,0.00000000000000000e+00,-1.73851751037533142e-01,0.00000000000000000e+00,-1.73007501169658517e-01,1.00009295508019536e+00,-9.88859714577462356e-01,-1.82118908333110631e-03,1.00000000026803737e+00,1.00000000026803759e+00,5.61609833902075150e-03,5.61595761354100227e-03
1.00000000000000000e+00,3.60000000000000000e+01,6.32890128287980525e-01,4.99950000000000000e+03,1.00000000000000000e+02,1.00000000000000005e-04,6.32890128287980514e-03,-1.21482281074004120e-01,0.00000000000000000e+00,1.20694528970041487e-01,0.00000000000000000e+00,-1.57854124599819567e-01,0.00000000000000000e+00,1.57248686358670703e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.44408936062009507e-01,0.00000000000000000e+00,-3.42888920854826251e-01,0.00000000000000000e+00,3.04864058402846250e-01,0.00000000000000000e+00,3.03145824499443273e-01,-3.44408936062009507e-01,0.00000000000000000e+00,3.42888920854788393e-01,0.00000000000000000e+00,-3.04864058402859461e-01,0.00000000000000000e+00,3.03145824499443273e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.21482281074021356e-01,0.00000000000000000e+00,1.20694528970041487e-01,0.00000000000000000e+00,-1.57854124599819567e-01,0.00000000000000000e+00,-1.57248686358671369e-01,1.00002002729517803e+00,-9.88787931237455342e-01,-3.92787689963736608e-04,1.00000000050918714e+00,1.00000000050918736e+00,5.61593580859633731e-03,5.61595774454910334e-03
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,-3.09359277035515978e+00,4.53387696499416709e-02,1.00000000000000000e+00,2.00000000000000028e+02,4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420309e-01,0.00000000000000000e+00,2.49996875053710120e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.56242187790265230e-08,0.00000000000000000e+00,-3.12484375579815167e-06,0.00000000000000000e+00,-3.12488281610097423e-06,0.00000000000000000e+00,0.00000000000000000e+00,1.56242187790086393e-08,0.00000000000000000e+00,3.12484375579815167e-06,0.00000000000000000e+00,-3.12488281610097423e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99999999990235144e-01,0.00000000000000000e+00,-4.99993750107420309e-01,0.00000000000000000e+00,2.49996875053710120e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.00002499984375220e+02,-2.00002499968751209e+02,-1.99997500031250468e+02,1.00000000000000022e+00,1.00000000000000022e+00,3.90595704574526077e-11,1.54074651057363679e-33
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,9.06775392998833496e+00,-3.96767252963437234e-01,0.00000000000000000e+00,3.96654366030206484e-01,0.00000000000000000e+00,-2.35692985809278256e-02,0.00000000000000000e+00,2.15857569305014756e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.03142582943156769e-01,0.00000000000000000e+00,3.03065586627519090e-01,0.00000000000000000e+00,-1.61571148461367997e-02,0.00000000000000000e+00,-1.46416038940940831e-02,3.03142582943156769e-01,0.00000000000000000e+00,-3.03065586627539074e-01,0.00000000000000000e+00,1.61571148461356479e-02,0.00000000000000000e+00,-1.46416038940940831e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.96767252963445283e-01,0.00000000000000000e+00,3.96654366030206484e-01,0.00000000000000000e+00,-2.35692985809278256e-02,0.00000000000000000e+00,-2.15857569305011182e-02,9.12272773543192450e+00,-9.12256858273692472e+00,-9.01357303720301140e+00,1.00000000033783953e+00,1.00000000033783953e+00,8.72303666082565528e-06,9.92992606180314339e-08
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,1.82079441680638965e+00,2.15443469003188381e+00,2.15443469003188365e-01,4.20887853873822415e+00,4.22213513017485276e-01,0.00000000000000000e+00,-4.21969823495738250e-01,0.00000000000000000e+00,4.97934315334661107e-02,0.00000000000000000e+00,-4.76829863823820324e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.61684454018577484e-01,0.00000000000000000e+00,2.61524394611010957e-01,0.00000000000000000e+00,-3.26660885605332615e-02,0.00000000000000000e+00,-3.13580746139964298e-02,2.61684454018577484e-01,0.00000000000000000e+00,-2.61524394610996913e-01,0.00000000000000000e+00,3.26660885605348991e-02,0.00000000000000000e+00,-3.13580746139964298e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.22213513017468289e-01,0.00000000000000000e+00,-4.21969823495738250e-01,0.00000000000000000e+00,4.97934315334661107e-02,0.00000000000000000e+00,4.76829863823839128e-02,4.32604421542952000e+00,-4.32596345286330308e+00,-4.09439005274353551e+00,1.00000000033359759e+00,1.00000000033359737e+00,9.33462596835955842e-06,1.07817014660314040e-07
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,1.02721734501594213e+01,4.64158883361277930e+00,4.64158883361277808e-02,1.95358836274398118e+00,4.41026068060313858e-01,0.00000000000000000e+00,-4.40493077276371436e-01,0.00000000000000000e+00,1.07700715066700259e-01,0.00000000000000000e+00,-1.05496930976924433e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.05136935533705295e-01,0.00000000000000000e+00,-2.04895353301742300e-01,0.00000000000000000e+00,4.88292855229121997e-02,0.00000000000000000e+00,4.78042112075068790e-02,-2.05136935533705295e-01,0.00000000000000000e+00,2.04895353301754013e-01,0.00000000000000000e+00,-4.88292855229114781e-02,0.00000000000000000e+00,4.78042112075068790e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.41026068060314413e-01,0.00000000000000000e+00,-4.40493077276371436e-01,0.00000000000000000e+00,1.07700715066700259e-01,0.00000000000000000e+00,1.05496930976920575e-01,2.19465429875611839e+00,-2.19463202015823455e+00,-1.73950785454410384e+00,1.00000000033446801e+00,1.00000000033446801e+00,5.07581807549794631e-06,9.45139451851737049e-08
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,4.95000000000000213e+01,1.00000000000000018e+01,9.99999999999999500e-03,9.06775392998833363e-01,4.05160391896985828e-01,0.00000000000000000e+00,-4.04263204456002168e-01,0.00000000000000000e+00,1.80450382839137474e-01,0.00000000000000000e+00,-1.78426836495346658e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.12909828001107443e-01,0.00000000000000000e+00,-2.12441384832014218e-01,0.00000000000000000e+00,9.42209050614719740e-02,0.00000000000000000e+00,9.31575336754407457e-02,-2.12909828001107443e-01,0.00000000000000000e+00,2.12441384832000618e-01,0.00000000000000000e+00,-9.42209050614757626e-02,0.00000000000000000e+00,9.31575336754407457e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.05160391896980832e-01,0.00000000000000000e+00,-4.04263204456002168e-01,0.00000000000000000e+00,1.80450382839137474e-01,0.00000000000000000e+00,1.78426836495340579e-01,1.34990429784788390e+00,-1.34990144427029590e+00,-6.09526145614645798e-01,1.00000000033515279e+00,1.00000000033515257e+00,1.05712309223687840e-06,9.95147506627382792e-08
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,2.31579441680639093e+02,2.15443469003188426e+01,2.15443469003188254e-03,4.20887853873822382e-01,-4.17052948510371391e-01,0.00000000000000000e+00,4.15670879036207197e-01,0.00000000000000000e+00,-2.77456520677081764e-01,0.00000000000000000e+00,2.75374724119385794e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.29348421228199593e-02,0.00000000000000000e+00,1.28933622568985599e-02,0.00000000000000000e+00,-8.32831008843670090e-03,0.00000000000000000e+00,-8.26373998110446067e-03,1.29348421228199593e-02,0.00000000000000000e+00,-1.28933622568566490e-02,0.00000000000000000e+00,8.32831008845957496e-03,0.00000000000000000e+00,-8.26373998110446067e-03,0.00000000000000000e+00,0.00000000000000000e+00,4.17052948510362731e-01,0.00000000000000000e+00,4.15670879036207197e-01,0.00000000000000000e+00,-2.77456520677081764e-01,0.00000000000000000e+00,-2.75374724119376191e-01,1.08496386370169584e+00,-1.08496335322300519e+00,-1.63389007462294289e-01,1.00000000033683034e+00,1.00000000033683034e+00,2.35419886501491795e-07,1.02900894728528368e-07
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,1.07671734501594369e+03,4.64158883361278285e+01,4.64158883361277081e-04,1.95358836274397984e-01,3.35534131244723810e-01,0.00000000000000000e+00,-3.34156144962262258e-01,0.00000000000000000e+00,2.76436086555414073e-01,0.00000000000000000e+00,-2.74761871328725926e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.92548532041274062e-01,0.00000000000000000e+00,-1.91757975457421043e-01,0.00000000000000000e+00,1.58592685099793185e-01,0.00000000000000000e+00,1.57631924835863912e-01,-1.92548532041274062e-01,0.00000000000000000e+00,1.91757975457329588e-01,0.00000000000000000e+00,-1.58592685099859326e-01,0.00000000000000000e+00,1.57631924835863912e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.35534131244716927e-01,0.00000000000000000e+00,-3.34156144962262258e-01,0.00000000000000000e+00,2.76436086555414073e-01,0.00000000000000000e+00,2.74761871328715268e-01,1.01890385950318541e+00,-1.01890364590984106e+00,-3.75793365685868769e-02,1.00000000033943093e+00,1.00000000033943093e+00,1.04984974564012553e-07,1.03026162728819591e-07
1.00000000000000000e+00,4.80000000000000000e+01,9.06775392998833496e+00,4.99950000000000000e+03,1.00000000000000000e+02,1.00000000000000005e-04,9.06775392998833557e-02,1.10243180975417715e-02,0.00000000000000000e+00,-1.09731147142830155e-02,0.00000000000000000e+00,1.02682372721834957e-02,0.00000000000000000e+00,-1.02132440338117345e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.69800297939092248e-01,0.00000000000000000e+00,3.68114760084621850e-01,0.00000000000000000e+00,-3.38032065862812980e-01,0.00000000000000000e+00,-3.36187289747590323e-01,3.69800297939092248e-01,0.00000000000000000e+00,-3.68114760084616410e-01,0.00000000000000000e+00,3.38032065862872599e-01,0.00000000000000000e+00,-3.36187289747590323e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.10243180974666909e-02,0.00000000000000000e+00,-1.09731147142830155e-02,0.00000000000000000e+00,1.02682372721834957e-02,0.00000000000000000e+00,1.02132440338488333e-02,1.00410279161721383e+00,-1.00410258760096860e+00,-8.16205323954448218e-03,1.00000000034749981e+00,1.00000000034749958e+00,1.01765064362470656e-07,1.03035263718763476e-07
