m,a,n_a3,rho_a3,p_a3,w,n_a3_tail_corrected,rho_a3_tail_corrected,p_a3_tail_corrected,w_tail_corrected,rho_a3_instantaneous,p_a3_instantaneous,w_instantaneous
0.00000000000000000e+00,7.49894209332455919e+00,1.78135110896364887e-24,5.65673115513378605e-25,1.88557705171126118e-25,3.33333333333333204e-01,1.78135110896364887e-24,5.65673115513378605e-25,1.88557705171126118e-25,3.33333333333333204e-01,5.65673115912085442e-25,1.88557705304028427e-25,3.33333333333333259e-01
0.00000000000000000e+00,8.25404185268018331e+00,1.78135110896364887e-24,5.13923967517551092e-25,1.71307989172517054e-25,3.33333333333333370e-01,1.78135110896364887e-24,5.13923967517551092e-25,1.71307989172517054e-25,3.33333333333333370e-01,5.13923967879783350e-25,1.71307989293261101e-25,3.33333333333333315e-01
0.00000000000000000e+00,9.08517575651686649e+00,1.78135110896364887e-24,4.66908957038341894e-25,1.55636319012780677e-25,3.33333333333333426e-01,1.78135110896364887e-24,4.66908957038341894e-25,1.55636319012780677e-25,3.33333333333333426e-01,4.66908957367436232e-25,1.55636319122478774e-25,3.33333333333333426e-01
0.00000000000000000e+00,9.99999999999999822e+00,1.78135110896364887e-24,4.24194993698531958e-25,1.41398331232844024e-25,3.33333333333333426e-01,1.78135110896364887e-24,4.24194993698531958e-25,1.41398331232844024e-25,3.33333333333333426e-01,4.24194993997519957e-25,1.41398331332506683e-25,3.33333333333333426e-01
0.00000000000000000e+00,1.10069417125220976e+01,1.78135110896364887e-24,3.85388607278572755e-25,1.28462869092857585e-25,3.33333333333333315e-01,1.78135110896364887e-24,3.85388607278572755e-25,1.28462869092857585e-25,3.33333333333333315e-01,3.85388607550208561e-25,1.28462869183402838e-25,3.33333333333333315e-01
0.00000000000000000e+00,1.21152765862858853e+01,1.78135110896364887e-24,3.50132323168508968e-25,1.16710774389503020e-25,3.33333333333333426e-01,1.78135110896364887e-24,3.50132323168508968e-25,1.16710774389503020e-25,3.33333333333333426e-01,3.50132323415294777e-25,1.16710774471764987e-25,3.33333333333333481e-01
0.00000000000000000e+00,1.33352143216332450e+01,1.78135110896364887e-24,3.18101369402346656e-25,1.06033789800782173e-25,3.33333333333333204e-01,1.78135110896364887e-24,3.18101369402346656e-25,1.06033789800782173e-25,3.33333333333333204e-01,3.18101369626555857e-25,1.06033789875518657e-25,3.33333333333333481e-01
0.00000000000000000e+00,1.46779926762206987e+01,1.78135110896364887e-24,2.89000684940901671e-25,9.63335616469672313e-26,3.33333333333333370e-01,1.78135110896364887e-24,2.89000684940901671e-25,9.63335616469672313e-26,3.33333333333333370e-01,2.89000685144599735e-25,9.63335617148665860e-26,3.33333333333333370e-01
0.00000000000000000e+00,1.61559809843987345e+01,1.78135110896364887e-24,2.62562201644185022e-25,8.75207338813949882e-26,3.33333333333333259e-01,1.78135110896364887e-24,2.62562201644185022e-25,8.75207338813949882e-26,3.33333333333333259e-01,2.62562201829248332e-25,8.75207339430827851e-26,3.33333333333333370e-01
0.00000000000000000e+00,1.77827941003892285e+01,1.78135110896364887e-24,2.38542374895544273e-25,7.95141249651814358e-26,3.33333333333333370e-01,1.78135110896364887e-24,2.38542374895544273e-25,7.95141249651814358e-26,3.33333333333333370e-01,2.38542375063677526e-25,7.95141250212258381e-26,3.33333333333333315e-01
