node,k,t,a,H,K,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,E,eps,p1,s,norm_hilbert,norm_krein,beta2,beta2_adiabatic
2.00000000000000000e+00,9.52524976630388931e-01,4.64158883361278001e+01,2.15443469003188381e+00,1.07721734501594162e-02,4.42122929526488628e-01,1.56380049537059251e-01,0.00000000000000000e+00,8.62631385215878455e-02,0.00000000000000000e+00,1.33801141125055922e-01,0.00000000000000000e+00,2.98220478965609825e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.66842127112722882e-01,0.00000000000000000e+00,2.62653180724522928e-01,0.00000000000000000e+00,3.94549404032074391e-01,0.00000000000000000e+00,-8.19411613270672329e-02,4.66842127112722882e-01,0.00000000000000000e+00,2.62653180724522928e-01,0.00000000000000000e+00,3.94549404032074391e-01,0.00000000000000000e+00,8.19411613270672329e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.56380049537059251e-01,0.00000000000000000e+00,-8.62631385215878455e-02,0.00000000000000000e+00,-1.33801141125055922e-01,0.00000000000000000e+00,2.98220478965609825e-02,1.09337673507948963e+00,1.09331613859820442e+00,1.76473089757580470e-01,9.16843048840623953e-01,1.00000000000290767e+00,-1.00000000000290767e+00,2.77107068954498878e-05,2.04644709645002403e-05
2.00000000000000000e+00,9.52524976630388931e-01,5.41169526546463686e+01,2.32630506715362628e+00,9.23924898711145533e-03,4.09458325169647808e-01,3.28877367271143417e-01,0.00000000000000000e+00,1.83434643044981666e-01,0.00000000000000000e+00,2.79470572014696383e-01,0.00000000000000000e+00,5.99311787643315719e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.65609982067729378e-01,0.00000000000000000e+00,-2.03176388674619762e-01,0.00000000000000000e+00,-3.11395706769766134e-01,0.00000000000000000e+00,6.76555402161659047e-02,-3.65609982067729378e-01,0.00000000000000000e+00,-2.03176388674619762e-01,0.00000000000000000e+00,-3.11395706769766134e-01,0.00000000000000000e+00,-6.76555402161659047e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.28877367271143417e-01,0.00000000000000000e+00,-1.83434643044981666e-01,0.00000000000000000e+00,-2.79470572014696383e-01,0.00000000000000000e+00,5.99311787643315719e-02,1.08058138057748021e+00,1.08053426915196149e+00,1.58532719388492949e-01,9.22001549763468708e-01,1.00000000000310241e+00,-1.00000000000310241e+00,2.17991119029088032e-05,2.03284846037506647e-05
2.00000000000000000e+00,9.52524976630388931e-01,6.30957344480193356e+01,2.51188643150958013e+00,7.92446596230556542e-03,3.79207023327860215e-01,-2.38436831106672104e-01,0.00000000000000000e+00,-1.31255397552365677e-01,0.00000000000000000e+00,-2.04269549307701637e-01,0.00000000000000000e+00,-4.58465454841293155e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.28609607689656835e-01,0.00000000000000000e+00,2.33582030909257304e-01,0.00000000000000000e+00,3.69439313928738688e-01,0.00000000000000000e+00,-8.56724928780617373e-02,4.28609607689656835e-01,0.00000000000000000e+00,2.33582030909257304e-01,0.00000000000000000e+00,3.69439313928738688e-01,0.00000000000000000e+00,8.56724928780617373e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.38436831106672104e-01,0.00000000000000000e+00,1.31255397552365677e-01,0.00000000000000000e+00,2.04269549307701637e-01,0.00000000000000000e+00,-4.58465454841293155e-02,1.06948490711238020e+00,1.06943400343220807e+00,1.37114863951857513e-01,9.32319139480350945e-01,1.00000000000334910e+00,-1.00000000000334910e+00,2.37982244606712868e-05,2.03569031695928043e-05
2.00000000000000000e+00,9.52524976630388931e-01,7.35642254459641549e+01,2.71227257933202859e+00,6.79678195439262570e-03,3.51190726141903609e-01,-4.57411104885760422e-01,0.00000000000000000e+00,-2.43695948181028021e-01,0.00000000000000000e+00,-3.99581912125445859e-01,0.00000000000000000e+00,-9.91387955589033004e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.71580293739080236e-01,0.00000000000000000e+00,-9.02335586073658019e-02,0.00000000000000000e+00,-1.51011540103059838e-01,0.00000000000000000e+00,3.88173046932226429e-02,-1.71580293739080236e-01,0.00000000000000000e+00,-9.02335586073658019e-02,0.00000000000000000e+00,-1.51011540103059838e-01,0.00000000000000000e+00,-3.88173046932226429e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.57411104885760422e-01,0.00000000000000000e+00,2.43695948181028021e-01,0.00000000000000000e+00,3.99581912125445859e-01,0.00000000000000000e+00,-9.91387955589033004e-02,1.05987495777949081e+00,1.05983852324368222e+00,1.14453904644455026e-01,9.45384618599227400e-01,1.00000000000368483e+00,-1.00000000000368483e+00,1.71881312255605985e-05,2.04273844178905518e-05
2.00000000000000000e+00,9.52524976630388931e-01,8.57695898590894217e+01,2.92864456462523659e+00,5.82957200589915778e-03,3.25244308625167233e-01,-4.87120273118965330e-01,0.00000000000000000e+00,-2.55835668098667646e-01,0.00000000000000000e+00,-4.29048423343918739e-01,0.00000000000000000e+00,-1.10671939360973470e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.04904228053187087e-02,0.00000000000000000e+00,-9.23728727808121979e-03,0.00000000000000000e+00,-1.94995866454124381e-02,0.00000000000000000e+00,6.76046809455951685e-03,-2.04904228053187087e-02,0.00000000000000000e+00,-9.23728727808121979e-03,0.00000000000000000e+00,-1.94995866454124381e-02,0.00000000000000000e+00,-6.76046809455951685e-03,0.00000000000000000e+00,0.00000000000000000e+00,-4.87120273118965330e-01,0.00000000000000000e+00,2.55835668098667646e-01,0.00000000000000000e+00,4.29048423343918739e-01,0.00000000000000000e+00,-1.10671939360973470e-01,1.05156258030279059e+00,1.05152705034041838e+00,1.00430978870185525e-01,9.51096071470233007e-01,1.00000000000401301e+00,-1.00000000000401301e+00,1.68938907001730911e-05,2.04041972291879950e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.00000000000000014e+02,3.16227766016837952e+00,4.99999999999999924e-03,3.01214845435068657e-01,3.24051569874581058e-01,0.00000000000000000e+00,1.66194642699286216e-01,0.00000000000000000e+00,2.89227427185059394e-01,0.00000000000000000e+00,7.91438182035723303e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.61949355972109976e-01,0.00000000000000000e+00,1.86021360019925058e-01,0.00000000000000000e+00,3.22680786102026496e-01,0.00000000000000000e+00,-8.78606841222795282e-02,3.61949355972109976e-01,0.00000000000000000e+00,1.86021360019925058e-01,0.00000000000000000e+00,3.22680786102026496e-01,0.00000000000000000e+00,8.78606841222795282e-02,0.00000000000000000e+00,0.00000000000000000e+00,3.24051569874581058e-01,0.00000000000000000e+00,-1.66194642699286216e-01,0.00000000000000000e+00,-2.89227427185059394e-01,0.00000000000000000e+00,7.91438182035723303e-02,1.04438038238492026e+00,1.04433698957022747e+00,8.42732012293688632e-02,9.60063788340858704e-01,1.00000000000439471e+00,-1.00000000000439471e+00,2.07744323879183247e-05,2.04218338624375849e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.16591440117983211e+02,3.41454887383360228e+00,4.28847949295446933e-03,2.78960709547836860e-01,-3.63385883345922089e-01,0.00000000000000000e+00,-1.86197208999707070e-01,0.00000000000000000e+00,-3.24497204145442586e-01,0.00000000000000000e+00,-8.89861557908164236e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.22214422815333523e-01,0.00000000000000000e+00,1.65173789366600182e-01,0.00000000000000000e+00,2.87662620390569279e-01,0.00000000000000000e+00,-7.88037409866282207e-02,3.22214422815333523e-01,0.00000000000000000e+00,1.65173789366600182e-01,0.00000000000000000e+00,2.87662620390569279e-01,0.00000000000000000e+00,7.88037409866282207e-02,0.00000000000000000e+00,0.00000000000000000e+00,-3.63385883345922089e-01,0.00000000000000000e+00,1.86197208999707070e-01,0.00000000000000000e+00,3.24497204145442586e-01,0.00000000000000000e+00,-8.89861557908164236e-02,1.03818065743464549e+00,1.03813863383857630e+00,7.73704949215525128e-02,9.60768138917023617e-01,1.00000000000482014e+00,-1.00000000000482014e+00,2.02390599228740872e-05,2.03884488905504041e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.35935639087852564e+02,3.68694506451957560e+00,3.67821127229820636e-03,2.58350737524348451e-01,1.57855878377086672e-01,0.00000000000000000e+00,7.75286940375564115e-02,0.00000000000000000e+00,1.44159113599210326e-01,0.00000000000000000e+00,4.32905312356170885e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.57081205464681950e-01,0.00000000000000000e+00,2.28713116817318041e-01,0.00000000000000000e+00,4.13397825059826918e-01,0.00000000000000000e+00,-1.19516623025414659e-01,4.57081205464681950e-01,0.00000000000000000e+00,2.28713116817318041e-01,0.00000000000000000e+00,4.13397825059826918e-01,0.00000000000000000e+00,1.19516623025414659e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.57855878377086672e-01,0.00000000000000000e+00,-7.75286940375564115e-02,0.00000000000000000e+00,-1.44159113599210326e-01,0.00000000000000000e+00,4.32905312356170885e-02,1.03283353139766665e+00,1.03278818904659309e+00,6.31721193161875333e-02,9.69616069730405594e-01,1.00000000000535172e+00,-1.00000000000535172e+00,2.19504669543757992e-05,2.04084433174801089e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.58489319246111450e+02,3.98107170553497403e+00,3.15478672240096427e-03,2.39263456447185302e-01,-4.82780414601475472e-01,0.00000000000000000e+00,-2.38882772570788521e-01,0.00000000000000000e+00,-4.39202910725186357e-01,0.00000000000000000e+00,-1.29950941119458235e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.95054508867614781e-03,0.00000000000000000e+00,4.57071828085192904e-03,0.00000000000000000e+00,3.86428715810644037e-03,0.00000000000000000e+00,6.44355485149067288e-04,5.95054508867614781e-03,0.00000000000000000e+00,4.57071828085192904e-03,0.00000000000000000e+00,3.86428715810644037e-03,0.00000000000000000e+00,-6.44355485149067288e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.82780414601475472e-01,0.00000000000000000e+00,2.38882772570788521e-01,0.00000000000000000e+00,4.39202910725186357e-01,0.00000000000000000e+00,-1.29950941119458235e-01,1.02822517066596575e+00,1.02818637375887323e+00,5.57797581810559953e-02,9.72406615577817379e-01,1.00000000000575073e+00,-1.00000000000575073e+00,1.88659615189295329e-05,2.04019575864702555e-05
2.00000000000000000e+00,9.52524976630388931e-01,1.84784979742229098e+02,4.29866234708227690e+00,2.70584763273231830e-03,2.21586367972566312e-01,1.37449044371752094e-01,0.00000000000000000e+00,6.54314108764434271e-02,0.00000000000000000e+00,1.27499184920802089e-01,0.00000000000000000e+00,4.05594857712890250e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.61289073491451984e-01,0.00000000000000000e+00,2.24652950858201111e-01,0.00000000000000000e+00,4.23076517887204406e-01,0.00000000000000000e+00,-1.29132021567948979e-01,4.61289073491451984e-01,0.00000000000000000e+00,2.24652950858201111e-01,0.00000000000000000e+00,4.23076517887204406e-01,0.00000000000000000e+00,1.29132021567948979e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.37449044371752094e-01,0.00000000000000000e+00,-6.54314108764434271e-02,0.00000000000000000e+00,-1.27499184920802089e-01,0.00000000000000000e+00,4.05594857712890250e-02,1.02425608051466965e+00,1.02421212464258504e+00,4.68162440358537366e-02,9.77395880606731327e-01,1.00000000000635381e+00,-1.00000000000635381e+00,2.14574652903143323e-05,2.04049558655631267e-05
