y,z,n_c,n_p,S_c,S_p,M_eff,v_x,L_s,rho,p_y,p_3,p_t,conservation_residual,homo_a,homo_b,volume_factor
-3.00000000000000000e+00,1.52299797447126292e-08,5.35946431069057777e-05,3.51902261232567662e+03,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,-3.46830874324034755e-02,-6.10252828329931347e+01,4.42560937874944557e+03,4.41156979363889695e+03,-5.63454200381736285e+01,-6.10252828329931347e+01,-9.94285318075156965e-01,4.34657325657583798e-08,0.00000000000000000e+00,1.52299797447126292e-08
-2.99000000000000021e+00,1.61717490960814157e-08,5.46843546900399596e-05,3.38147434548626279e+03,1.37523711141781067e-06,8.50394786146567867e+01,1.01257209142969629e+00,-3.33274273212506439e-02,-5.58133566938998413e+01,4.24978836448039056e+03,4.15138576143336923e+03,-5.13589808831815589e+01,-5.58133566938998413e+01,2.49658221207226916e-01,4.46654352736773772e-08,-7.55198249201647271e-09,1.61717490960814157e-08
-2.97999999999999998e+00,1.71717542117811704e-08,5.58092634533541442e-05,3.25006186118507412e+03,2.77616915418595921e-06,1.61670678484396745e+02,1.02390111728814581e+00,-3.20322407762427055e-02,-5.01213257594597579e+01,4.08107750128840098e+03,3.90667074027031776e+03,-4.58759640123193932e+01,-5.01213257594597579e+01,7.26627669062054338e-02,4.74016434254384561e-08,-1.52805539907191028e-08,1.71717542117811704e-08
-2.97000000000000020e+00,1.82335961903634286e-08,5.69684269415670006e-05,3.12436594223114253e+03,4.20267790297022383e-06,2.30490894889476948e+02,1.03407538068938254e+00,-3.07933960430693508e-02,-4.41778852232779045e+01,3.91918655953188272e+03,3.67653965711656519e+03,-4.01258819122477988e+01,-4.41778852232779045e+01,-1.90304111673356147e-02,5.17217907008267465e-08,-2.34376858329197108e-08,1.82335961903634286e-08
-2.95999999999999996e+00,1.93610988098781699e-08,5.81610028237149432e-05,3.00401353222993657e+03,5.65462133359720675e-06,2.92060971803531061e+02,1.04317779584757608e+00,-2.96072163223099066e-02,-3.81649636815550650e+01,3.76383569853760082e+03,3.46015419688490647e+03,-3.42914530301038525e+01,-3.81649636815550650e+01,6.17830332411983818e-03,5.77225584312211629e-08,-3.22765967272193779e-08,1.93610988098781699e-08
-2.95000000000000018e+00,2.05583222976044118e-08,5.93861347901580156e-05,2.88866639653168932e+03,7.13184011694824014e-06,3.46907690895540043e+02,1.05128624126336101e+00,-2.84703680137478043e-02,-3.22249010192185139e+01,3.61474863187203073e+03,3.25671360729213347e+03,-2.85157891883051278e+01,-3.22249010192185139e+01,1.00674648655285637e-03,6.55494546956034072e-08,-4.20593537279542064e-08,2.05583222976044118e-08
-2.93999999999999995e+00,2.18295779512547846e-08,6.06429851555152907e-05,2.77801913032539824e+03,8.63415601346673533e-06,3.95525558613488329e+02,1.05847382392395217e+00,-2.73798410836232284e-02,-2.64669144612305587e+01,3.47165665699837882e+03,3.06545693205179441e+03,-2.29088585097570672e+01,-2.64669144612305587e+01,3.37348845140184039e-03,7.53978950957850541e-08,-5.30640374335317645e-08,2.18295779512547813e-08
-2.93000000000000016e+00,2.31794436643030764e-08,6.19307272758651804e-05,2.67179524119640791e+03,1.01613724499873111e-05,4.38378616723924210e+02,1.06480914696969675e+00,-2.63329104557052732e-02,-2.09725996967878743e+01,3.33429931962269075e+03,2.88566186336713508e+03,-1.75529861031786218e+01,-2.09725996967878743e+01,3.57297333842865328e-03,8.75155780923213292e-08,-6.55917211370052264e-08,2.31794436643030731e-08
-2.91999999999999993e+00,2.46127804113463500e-08,6.32485488278880585e-05,2.56974416424447691e+03,1.17132744668615778e-05,4.75902123656936624e+02,1.07035655826218878e+00,-2.53271065918276132e-02,-1.58006739380919576e+01,3.20242546711708019e+03,2.71664411001315148e+03,-1.25075957906965378e+01,-1.58006739380919576e+01,4.13473597737379350e-03,1.02206096693697378e-07,-7.99734487635940954e-08,2.46127804113463467e-08
-2.91000000000000014e+00,2.61347497528632502e-08,6.45956520082085193e-05,2.47163843614502593e+03,1.32896288097869711e-05,5.08504153873943153e+02,1.07517638683182382e+00,-2.43601876400781348e-02,-1.09910351720625101e+01,3.07579380841646935e+03,2.55775635473851571e+03,-7.81326831686526369e+00,-1.09910351720625101e+01,4.43938964479428932e-03,1.19833736506424225e-07,-9.65773839811163221e-08,2.61347497528632469e-08
-2.89999999999999991e+00,2.77508324224075661e-08,6.59712544642712781e-05,2.37727119172837592e+03,1.48901839582981961e-05,5.36567110191441884e+02,1.07932516645702226e+00,-2.34301147614167198e-02,-6.56823048001437826e+00,2.95417327800728344e+03,2.40838710316635525e+03,-3.49520874689316852e+00,-6.56823048001437826e+00,4.67260724863294286e-03,1.40829450412221012e-07,-1.15816279395596973e-07,2.77508324224075628e-08
-2.89000000000000012e+00,2.94668480631682096e-08,6.73745899175893961e-05,2.28645390824149899e+03,1.65146701513541058e-05,5.60449156827073466e+02,1.08285584752346686e+00,-2.25350298973279600e-02,-2.54440846882610217e+00,2.83734318775815473e+03,2.26795940053375261e+03,4.33801783854441680e-01,-2.54440846882610217e+00,4.80804094540232541e-03,1.65698023754598237e-07,-1.38155403101964385e-07,2.94668480631682063e-08
-2.87999999999999989e+00,3.12889761849713116e-08,6.88049087710413976e-05,2.19901438654581852e+03,1.81627993964851304e-05,5.80485577064329505e+02,1.08581799773873855e+00,-2.16732358731999315e-02,1.07817632335377667e+00,2.72509322229055124e+03,2.13592946806363989e+03,3.97090210921412234e+00,1.07817632335377667e+00,4.87261051941878520e-03,1.95026467221775687e-07,-1.64121050122423935e-07,3.12889761849713050e-08
-2.87000000000000011e+00,3.32237784171900199e-08,7.02614786257101749e-05,2.11479494425464964e+03,1.98342654688779290e-05,5.96990059945008056e+02,1.08825799235516674e+00,-2.08431785892837403e-02,4.30504774788340328e+00,2.61722330707686115e+03,2.01178528374277175e+03,7.12103556152514905e+00,4.30504774788340328e+00,4.87714886189749564e-03,2.29493693923768284e-07,-1.94309760589662490e-07,3.32237784171900133e-08
-2.85999999999999988e+00,3.52782221376972539e-08,7.17435847345556098e-05,2.03365080174753393e+03,2.15287439008232904e-05,6.10255919836116732e+02,1.09021919446802218e+00,-2.00434311141253936e-02,7.14772884120658958e+00,2.51354337855122776e+03,1.89504513289534248e+03,9.89517075795247258e+00,7.14772884120658958e+00,4.83331963281941057e-03,2.69881554624408235e-07,-2.29398363213433556e-07,3.52782221376972473e-08
