iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,1.20632771834131611e-01,1.38591915422414003e+00,1.12711167469985071e+03,1.12711167469985071e+03,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,5.99999290790694584e-01,7.23789749533494259e-02,1.38592522023375198e+00,1.12713202467722363e+03,1.12713202467722363e+03,7.88000000000000000e+02,2.12930000000000000e+04
2.00000000000000000e+00,2.10412952222060266e-05,1.43723410360712793e-05,1.38593431611894058e+00,1.12716167503396400e+03,1.12716167503396400e+03,7.88000000000000000e+02,2.87740000000000000e+04
3.00000000000000000e+00,5.70853683209402558e-07,4.78120445921170957e-07,1.38593431076363793e+00,1.12716100525982802e+03,1.12716100525982802e+03,7.88000000000000000e+02,3.55230000000000000e+04
4.00000000000000000e+00,1.20878979694707978e-07,1.31848916885439239e-07,1.38593431062439665e+00,1.12716098172479337e+03,1.12716098172479337e+03,7.88000000000000000e+02,4.18830000000000000e+04
5.00000000000000000e+00,7.11552588393274360e-08,7.58814501526015162e-08,1.38593431064487449e+00,1.12716098084565192e+03,1.12716098084565192e+03,7.88000000000000000e+02,4.80600000000000000e+04
6.00000000000000000e+00,3.85523188313847039e-08,4.10393944276119252e-08,1.38593431066134554e+00,1.12716098039509870e+03,1.12716098039509870e+03,7.88000000000000000e+02,5.41880000000000000e+04
7.00000000000000000e+00,1.96220929594883813e-08,2.09686544536928260e-08,1.38593431066628159e+00,1.12716098015513035e+03,1.12716098015513035e+03,7.88000000000000000e+02,6.03060000000000000e+04
8.00000000000000000e+00,5.92450259282098421e-09,7.15733520220227009e-09,1.38593431067450590e+00,1.12716098002798913e+03,1.12716098002798913e+03,7.88000000000000000e+02,6.63570000000000000e+04
9.00000000000000000e+00,9.06418349427185368e-12,1.74869302044436985e-12,1.38593431067647566e+00,1.12716097994655070e+03,1.12716097994655070e+03,7.88000000000000000e+02,7.23530000000000000e+04
