t,a4,a4_prime,a4_second,scale_3space,scale_extratime,volume_ratio,theta,rho_req,p_req_0,p_req_1,p_req_2,p_req_3,p_req_5,p_req_6,p_req_7,p_mean_req,w_req
0.00000000000000000e+00,8.38515932239132234e-05,3.35350130466195620e-04,1.34095068302378883e-03,1.00008385510886710e+00,9.99916151922222718e-01,1.00000000000000044e+00,0.00000000000000000e+00,-2.10000003373791309e+01,1.49999996626208691e+01,1.50013406133038938e+01,1.50013406133038938e+01,1.50013406133038938e+01,1.49986587119378445e+01,1.49986587119378445e+01,1.49986587119378445e+01,1.49999996626208709e+01,-7.14285686744561277e-01
5.00000000000000028e-02,1.02412765131303904e-04,4.09567164985678443e-04,1.63759767889083176e-03,1.00010241800949751e+00,9.99897592478876884e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000005032357890e+01,1.49999994967642110e+01,1.50016370944431028e+01,1.50016370944431028e+01,1.50016370944431028e+01,1.49983618990853227e+01,1.49983618990853227e+01,1.49983618990853227e+01,1.49999994967642145e+01,-7.14285673205242833e-01
1.00000000000000006e-01,1.25081562346422064e-04,5.00201107079029377e-04,1.99980362372396449e-03,1.00012508938537126e+00,9.99874926260026053e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10000007506034443e+01,1.49999992493965557e+01,1.50019990530202811e+01,1.50019990530202811e+01,1.50019990530202811e+01,1.49979994457728338e+01,1.49979994457728338e+01,1.49979994457728338e+01,1.49999992493965575e+01,-7.14285653011966004e-01
1.49999999999999994e-01,1.52766505563188516e-04,6.10879359433610090e-04,2.44202474336425264e-03,1.00015277817495996e+00,9.99847245162645226e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.10000011195207748e+01,1.49999988804792252e+01,1.50024409052225902e+01,1.50024409052225902e+01,1.50024409052225902e+01,1.49975568557358603e+01,1.49975568557358603e+01,1.49975568557358603e+01,1.49999988804792270e+01,-7.14285622896268291e-01
2.00000000000000011e-01,1.86576812956773037e-04,7.46028833835639133e-04,2.98188909925426555e-03,1.00018659421949296e+00,9.99813440591414304e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10000016696770615e+01,1.49999983303229367e+01,1.50029802194221915e+01,1.50029802194221915e+01,1.50029802194221915e+01,1.49970164412236819e+01,1.49970164412236819e+01,1.49970164412236819e+01,1.49999983303229367e+01,-7.14285577985556808e-01
2.50000000000000000e-01,2.27866613443347080e-04,9.11051194398890610e-04,3.64088472047348908e-03,1.00022789257701206e+00,9.99772159346181577e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000024900428350e+01,1.49999975099571650e+01,1.50036383946776368e+01,1.50036383946776368e+01,1.50036383946776368e+01,1.49963566252366896e+01,1.49963566252366896e+01,1.49963566252366896e+01,1.49999975099571632e+01,-7.14285511016935493e-01
2.99999999999999989e-01,2.78288840115845017e-04,1.11253603285771364e-03,4.44519318572301515e-03,1.00027832756604740e+00,9.99721749878631716e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.10000037132092743e+01,1.49999962867907257e+01,1.50044414799764514e+01,1.50044414799764514e+01,1.50044414799764514e+01,1.49955510936050036e+01,1.49955510936050036e+01,1.49955510936050036e+01,1.49999962867907275e+01,-7.14285411166643569e-01
3.49999999999999978e-01,3.39860893814546725e-04,1.35851995042520651e-03,5.42669749586274265e-03,1.00033991865307126e+00,9.99660196852356964e-01,9.99999999999999778e-01,0.00000000000000000e+00,-2.10000055367293683e+01,1.49999944632706317e+01,1.50054211607664953e+01,1.50054211607664953e+01,1.50054211607664953e+01,1.49945677657747716e+01,1.49945677657747716e+01,1.49945677657747716e+01,1.49999944632706352e+01,-7.14285262307925994e-01
4.00000000000000022e-01,4.15044603510679683e-04,1.65880108016878470e-03,6.62419783655809630e-03,1.00041513074643951e+00,9.99585041515585915e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.10000082548630687e+01,1.49999917451369296e+01,1.50066159429734878e+01,1.50066159429734878e+01,1.50066159429734878e+01,1.49933675473003714e+01,1.49933675473003714e+01,1.49933675473003714e+01,1.49999917451369278e+01,-7.14285040419606054e-01
4.50000000000000011e-01,5.06843530958485389e-04,2.02532038904142900e-03,8.08487386541869094e-03,1.00050697199784411e+00,9.99493284892526201e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000123057680348e+01,1.49999876942319652e+01,1.50080725680973845e+01,1.50080725680973845e+01,1.50080725680973845e+01,1.49919028203665459e+01,1.49919028203665459e+01,1.49919028203665459e+01,1.49999876942319652e+01,-7.14284709733810308e-01
5.00000000000000000e-01,6.18921284431032037e-04,2.47262315662207920e-03,9.86603716533904912e-03,1.00061911285572958e+00,9.99381270207838845e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10000183415958226e+01,1.49999816584041774e+01,1.50098476955695155e+01,1.50098476955695155e+01,1.50098476955695155e+01,1.49901156212388358e+01,1.49901156212388358e+01,1.49901156212388358e+01,1.49999816584041721e+01,-7.14284217013893441e-01
5.50000000000000044e-01,7.55745232705548240e-04,3.01841632468955899e-03,1.20372219502460111e-02,1.00075603088008824e+00,9.99244540270795678e-01,9.99999999999999778e-01,0.00000000000000000e+00,-2.10000273325113263e+01,1.49999726674886737e+01,1.50120098894389180e+01,1.50120098894389180e+01,1.50120098894389180e+01,1.49879354455384259e+01,1.49879354455384259e+01,1.49879354455384259e+01,1.49999726674886720e+01,-7.14283483063203883e-01
5.99999999999999978e-01,9.22760856733120436e-04,3.68423989940797839e-03,1.46826651029735890e-02,1.00092318673151603e+00,9.99077664756143236e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.10000407208709099e+01,1.49999592791290901e+01,1.50146419442320642e+01,1.50146419442320642e+01,1.50146419442320642e+01,1.49852766140261160e+01,1.49852766140261160e+01,1.49852766140261160e+01,1.49999592791290919e+01,-7.14282390139432843e-01
