t,a4,a4_prime,a4_second,scale_3space,scale_extratime,volume_ratio,theta,rho_req,p_req_0,p_req_1,p_req_2,p_req_3,p_req_5,p_req_6,p_req_7,p_mean_req,w_req
5.00000000000000000e-01,1.23784256886206407e-03,4.94524631324415841e-03,1.97320743306780982e-02,1.00123860901218742e+00,9.98762923242233480e-01,9.99999999999999778e-01,0.00000000000000000e+00,-2.10000733663832975e+01,1.49999266336167025e+01,1.50196587079473822e+01,1.50196587079473822e+01,1.50196587079473822e+01,1.49801945592860264e+01,1.49801945592860264e+01,1.49801945592860264e+01,1.49999266336167043e+01,-7.14279725214123973e-01
5.50000000000000044e-01,1.51149046541109648e-03,6.03683264937911798e-03,2.40744439004920222e-02,1.00151263334286811e+00,9.98489651260993760e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.10001093300453121e+01,1.49998906699546897e+01,1.50239651138551817e+01,1.50239651138551817e+01,1.50239651138551817e+01,1.49758162260541976e+01,1.49758162260541976e+01,1.49758162260541976e+01,1.49998906699546897e+01,-7.14276789430520753e-01
5.99999999999999978e-01,1.84552171346624087e-03,7.36847979881595679e-03,2.93653302059471780e-02,1.00184722573677321e+00,9.98156180214588518e-01,1.00000000000000067e+00,0.00000000000000000e+00,-2.10001628834836360e+01,1.49998371165163640e+01,1.50292024467223104e+01,1.50292024467223104e+01,1.50292024467223104e+01,1.49704717863104175e+01,1.49704717863104175e+01,1.49704717863104175e+01,1.49998371165163622e+01,-7.14272417777937596e-01
6.50000000000000022e-01,2.25320589961423194e-03,8.99254632179857273e-03,3.58084535081585609e-02,1.00225574627566583e+00,9.97749330663308287e-01,1.00000000000000044e+00,0.00000000000000000e+00,-2.10002425976680485e+01,1.49997574023319498e+01,1.50355658558401100e+01,1.50355658558401100e+01,1.50355658558401100e+01,1.49639489488237931e+01,1.49639489488237931e+01,1.49639489488237931e+01,1.49997574023319533e+01,-7.14265910623222311e-01
6.99999999999999956e-01,2.75070195481306231e-03,1.09725977987761552e-02,4.36495953896954281e-02,1.00275448860662264e+00,9.97253077759392315e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10003611937073629e+01,1.49996388062926371e+01,1.50432884016823341e+01,1.50432884016823341e+01,1.50432884016823341e+01,1.49559892109029438e+01,1.49559892109029438e+01,1.49559892109029438e+01,1.49996388062926371e+01,-7.14256229592241110e-01
7.50000000000000000e-01,3.35767424453574511e-03,1.33857018483838977e-02,5.31844533648392695e-02,1.00336331754705821e+00,9.96647956439866145e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10005375310419211e+01,1.49994624689580789e+01,1.50526469223229178e+01,1.50526469223229178e+01,1.50526469223229178e+01,1.49462780155932400e+01,1.49462780155932400e+01,1.49462780155932400e+01,1.49994624689580771e+01,-7.14241835323816798e-01
8.00000000000000044e-01,4.09803366909917803e-03,1.63251423060428412e-02,6.47675486804294570e-02,1.00410644209115096e+00,9.95910351812304917e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10007995308139357e+01,1.49992004691860643e+01,1.50639680178664914e+01,1.50639680178664914e+01,1.50639680178664914e+01,1.49344329205056336e+01,1.49344329205056336e+01,1.49344329205056336e+01,1.49992004691860625e+01,-7.14220448949008824e-01
8.49999999999999978e-01,5.00082602777419949e-03,1.99036037333961309e-02,7.88221080487664649e-02,1.00501335102799949e+00,9.95011657285078233e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10011884603247267e+01,1.49988115396752715e+01,1.50776336477240385e+01,1.50776336477240385e+01,1.50776336477240385e+01,1.49199894316265045e+01,1.49199894316265045e+01,1.49199894316265045e+01,1.49988115396752715e+01,-7.14188702606564529e-01
9.00000000000000022e-01,6.10129230377100609e-03,2.42568699679346460e-02,9.58506883879709365e-02,1.00611994309968455e+00,9.93917282783571499e-01,1.00000000000000044e+00,0.00000000000000000e+00,-2.10017651872219240e+01,1.49982348127780760e+01,1.50940855011660471e+01,1.50940855011660471e+01,1.50940855011660471e+01,1.49023841243901050e+01,1.49023841243901050e+01,1.49023841243901050e+01,1.49982348127780778e+01,-7.14141629480908313e-01
9.49999999999999956e-01,7.44212733584433649e-03,2.95480633856328653e-02,1.16446077439141552e-01,1.00746988879084864e+00,9.92585496724062044e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10026192641495228e+01,1.49973807358504754e+01,1.51138268132896165e+01,1.51138268132896165e+01,1.51138268132896165e+01,1.48809346584113342e+01,1.48809346584113342e+01,1.48809346584113342e+01,1.49973807358504754e+01,-7.14071923469578596e-01
