iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.65253459771681657e-03,-1.65253459771681657e-03,7.88000000000000000e+02,1.16620000000000000e+04
1.00000000000000000e+00,5.99999493649562621e-01,1.49213845961653331e-04,1.65259505754985754e-04,-3.27176842268143454e-04,-3.27176842268143454e-04,7.88000000000000000e+02,1.91100000000000000e+04
2.00000000000000000e+00,3.31826179180104352e-05,2.21789767657311647e-04,4.11006497312003103e-04,1.67366776458329402e-03,1.67366776458329402e-03,7.88000000000000000e+02,2.65570000000000000e+04
3.00000000000000000e+00,5.17615105352467429e-05,1.93538789616288005e-06,4.05854407594331097e-04,1.65694004326226831e-03,1.65694004326226831e-03,7.88000000000000000e+02,3.34690000000000000e+04
4.00000000000000000e+00,1.10037979070830920e-05,9.08430579174316970e-07,4.02520791404870635e-04,1.62885716305028534e-03,1.62885716305028534e-03,7.88000000000000000e+02,3.98400000000000000e+04
5.00000000000000000e+00,2.37524667130891830e-07,6.16038227252682399e-07,4.02827648143871172e-04,1.63136821093656922e-03,1.63136821093656922e-03,7.88000000000000000e+02,4.61930000000000000e+04
6.00000000000000000e+00,1.27416077737041347e-07,2.68004509438845509e-07,4.02847853239342692e-04,1.63146792175465107e-03,1.63146792175465107e-03,7.88000000000000000e+02,5.24050000000000000e+04
7.00000000000000000e+00,6.11110949641117675e-08,6.56012158784235965e-08,4.02859177554346591e-04,1.63152249353113636e-03,1.63152249353113636e-03,7.88000000000000000e+02,5.86020000000000000e+04
8.00000000000000000e+00,3.71529755995765570e-08,1.58613090476972014e-09,4.02861433507835929e-04,1.63152835388079027e-03,1.63152835388079027e-03,7.88000000000000000e+02,6.47030000000000000e+04
9.00000000000000000e+00,2.51152192971711844e-10,3.90902649805686776e-10,4.02861905017328837e-04,1.63153267388394278e-03,1.63153267388394278e-03,7.88000000000000000e+02,7.07460000000000000e+04
1.00000000000000000e+01,1.25824564411958702e-10,1.61657826838561338e-10,4.02861896777889107e-04,1.63153262758282142e-03,1.63153262758282142e-03,7.88000000000000000e+02,7.67320000000000000e+04
1.10000000000000000e+01,2.10385347563158260e-11,5.81207479054555283e-12,4.02861891944780259e-04,1.63153260024234735e-03,1.63153260024234735e-03,7.88000000000000000e+02,8.27540000000000000e+04
