y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-2.29999999999999982e+00,1.01563147100266666e-06,1.01563147100249196e-06,2.39185092533316975e-05,1.21636439198514033e-05,2.35503821378463449e+01,1.19764346292313366e+01,1.10742590747795688e+00,-1.40827731064242529e-02,3.01441369930763088e+01,8.46185325610762540e+00,3.71274538995406322e+00,4.77462354041626347e-01,4.77462354041626347e-01
-2.25000000000000000e+00,1.37095908638451390e-06,1.37095908638408445e-06,2.72875618216103437e-05,1.31862744061136921e-05,1.99039942859137433e+01,9.61828440912310256e+00,1.08627383382607312e+00,-1.19022882006500474e-02,2.56827691006784029e+01,6.77628543701465613e+00,3.39251802471674724e+00,2.96451606536491830e-01,2.96451606536491830e-01
-2.20000000000000018e+00,1.85060119758296102e-06,1.85060119758190477e-06,3.12137621468208340e-05,1.41548410660543948e-05,1.68668226237000205e+01,7.64877980439538874e+00,1.06860782336512283e+00,-1.00861053823049687e-02,2.19288278703393260e+01,5.47007635577007001e+00,3.11398003260772338e+00,1.77322795883079337e-01,1.77322795883079337e-01
-2.14999999999999991e+00,2.49805032586923788e-06,2.49805032586663961e-06,3.58067170867017000e-05,1.50357549889135884e-05,1.43338653813066852e+01,6.01899602791120270e+00,1.05398903182975734e+00,-8.57143517763025824e-03,1.87649384994242361e+01,4.45604792833020902e+00,2.86434716775994858e+00,1.01048986699039139e-01,1.01048986699039139e-01
-2.10000000000000009e+00,3.37201523414556903e-06,3.37201523413917859e-06,4.11953247804442322e-05,1.57850559085741185e-05,1.22168264138820621e+01,4.68119353339866784e+00,1.04198924629688117e+00,-7.30547782453118497e-03,1.60922934834668041e+01,3.66616368209332366e+00,2.63530043988615903e+00,5.36550172278820597e-02,5.36550172278820597e-02
-2.04999999999999982e+00,4.55174446309895718e-06,4.55174446308323963e-06,4.75310111580919703e-05,1.63456249624633350e-05,1.04423724889634144e+01,3.59106823659235275e+00,1.03221106915990091e+00,-6.24438115670792031e-03,1.38285794107857960e+01,3.04765829473998551e+00,2.42185062290512976e+00,2.52329964206526244e-02,2.52329964206526244e-02
-2.00000000000000000e+00,6.14421235336686839e-06,6.14421235332820981e-06,5.49916257453560327e-05,1.66439351342713654e-05,8.95015057797734492e+00,2.70888019116976642e+00,1.02429804209636899e+00,-5.35205497389493190e-03,1.19057403509329252e+01,2.55989652091414133e+00,2.22128060598880772e+00,8.95939303911762359e-03,8.95939303911762359e-03
-1.94999999999999996e+00,8.29381916085245496e-06,8.29381916075737043e-06,6.37860877061928423e-05,1.65863070678442998e-05,7.69079798701182060e+00,1.99983948846187309e+00,1.01793810750103475e+00,-4.59898113009288376e-03,1.02677661168792209e+01,2.17180374246949492e+00,2.03229271193332162e+00,2.51749950686692135e-04,2.51749950686692135e-04
-1.89999999999999991e+00,1.11954848428248310e-05,1.11954848425909601e-05,7.41598774493827575e-05,1.60546417639787741e-05,6.62408805800499856e+00,1.43402827029894531e+00,1.01286290895872377e+00,-3.96110469086382710e-03,8.86864154679952144e+00,1.85977037266427225e+00,1.85438450187971582e+00,-3.89646606571772847e-03,-3.89646606571772847e-03
-1.84999999999999987e+00,1.51123238204302654e-05,1.51123238198550334e-05,8.64014724043732845e-05,1.49016110356278167e-05,5.71728566925335180e+00,9.86056890605376046e-01,1.00884470709167773e+00,-3.41885054745311038e-03,7.67053531425654000e+00,1.60595823905513391e+00,1.68742748069647885e+00,-5.41258083554236897e-03,-5.41258083554236897e-03
