iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.61342388712868989e-02,1.51905442407332175e-03,1.61342388712868989e-02,1.70612199891163885e-03,-1.81969733985550821e-03,-7.30028563202111003e-03,-7.30028563202111003e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,9.68043013461055563e-03,1.56138174239128054e-03,9.68043013461055563e-03,1.02293113709171768e-03,-1.81862509803561731e-03,-7.30035701451424608e-03,-7.30035701451424608e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,5.45570751213074637e-07,9.66553935538268043e-04,1.33318727996206904e-06,6.11273872428430565e-05,-1.81703076019036082e-03,-7.30039673990603207e-03,-7.30039673990603207e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,4.79456485773425613e-07,1.16074356887706474e-05,4.79456485773425613e-07,2.57533354094952038e-06,-1.81705995959731523e-03,-7.30039663481195714e-03,-7.30039663481195714e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,3.96442451109882618e-09,3.92264179041901334e-06,5.41072541958400783e-09,3.56921035837842737e-07,-1.81707315005921700e-03,-7.30039663563847221e-03,-7.30039663563847221e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,7.74322742140400533e-10,2.34152101917650352e-06,3.22979478368258830e-09,2.13054925257694094e-07,-1.81707323556260067e-03,-7.30039663565617246e-03,-7.30039663565617246e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,6.31890596110768050e-10,1.35329061714351150e-06,1.86667168042448610e-09,1.23135871277213482e-07,-1.81707323542423631e-03,-7.30039663567999021e-03,-7.30039663567999021e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,4.64961370640720782e-10,7.31331269520667893e-07,1.00876733533357096e-09,6.65438095737158619e-08,-1.81707323538246937e-03,-7.30039663561057785e-03,-7.30039663561057785e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,2.88608829880938113e-10,2.57086789008894197e-07,3.54614612976102569e-10,2.33923191927942753e-08,-1.81707323538611251e-03,-7.30039663561229089e-03,-7.30039663561229089e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,5.30726888184477015e-12,7.93408752853378618e-10,5.30726888184477015e-12,5.00373076306459552e-11,-1.81707323565367842e-03,-7.30039663566138617e-03,-7.30039663566138617e-03,2.85000000000000000e+02,1.05000000000000000e+02,0.00000000000000000e+00
