iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,1.20632771834131611e-01,1.38591915422414003e+00,1.12716157440522124e+03,1.12716157440522124e+03,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,6.00000693211867775e-01,7.23803921472284395e-02,1.38591308865043605e+00,1.12714201214668219e+03,1.12714201214668219e+03,7.88000000000000000e+02,2.14030000000000000e+04
2.00000000000000000e+00,2.50508909195914737e-05,1.55677284365007568e-05,1.38590398706503271e+00,1.12711181843114673e+03,1.12711181843114673e+03,7.88000000000000000e+02,2.89330000000000000e+04
3.00000000000000000e+00,5.02471389630262322e-07,4.12441464004860033e-07,1.38590397996571912e+00,1.12711101208747891e+03,1.12711101208747891e+03,7.88000000000000000e+02,3.56070000000000000e+04
4.00000000000000000e+00,1.93072291194260832e-07,1.43190359749817287e-07,1.38590398008761384e+00,1.12711103383500949e+03,1.12711103383500949e+03,7.88000000000000000e+02,4.18930000000000000e+04
5.00000000000000000e+00,1.08228945858860063e-07,7.95939605025377705e-08,1.38590398006168147e+00,1.12711103591587562e+03,1.12711103591587562e+03,7.88000000000000000e+02,4.80980000000000000e+04
6.00000000000000000e+00,5.58216534320477171e-08,4.04954465344505684e-08,1.38590398004764714e+00,1.12711103724561576e+03,1.12711103724561576e+03,7.88000000000000000e+02,5.43040000000000000e+04
7.00000000000000000e+00,2.64883946874300116e-08,1.89036573476558405e-08,1.38590398003542092e+00,1.12711103800164915e+03,1.12711103800164915e+03,7.88000000000000000e+02,6.02890000000000000e+04
8.00000000000000000e+00,6.50403885964846034e-09,4.80284384103866348e-09,1.38590398003053772e+00,1.12711103847803201e+03,1.12711103847803201e+03,7.88000000000000000e+02,6.63640000000000000e+04
9.00000000000000000e+00,2.00382315802742462e-11,6.89251304367847636e-12,1.38590398002897341e+00,1.12711103875506819e+03,1.12711103875506819e+03,7.88000000000000000e+02,7.24620000000000000e+04
