iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,8.35950675591708575e-02,7.04099564609495299e-01,6.13138507212708177e+01,6.13138507212708177e+01,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,6.00525523397978489e-01,4.92100971830261996e-02,7.02652269173602462e-01,6.11202069787711650e+01,6.11202069787711650e+01,7.86000000000000000e+02,3.62640000000000000e+04
2.00000000000000000e+00,7.33950337545510563e-04,1.52042394408137028e-03,7.00755472711043770e-01,6.08596066660411665e+01,6.08596066660411665e+01,7.86000000000000000e+02,6.32660000000000000e+04
3.00000000000000000e+00,1.41599693142095652e-04,4.86487454128279448e-05,7.00961314850126582e-01,6.08900838906204740e+01,6.08900838906204740e+01,7.86000000000000000e+02,7.10430000000000000e+04
4.00000000000000000e+00,2.95612255628785427e-05,1.30274380220287153e-05,7.00969057876836610e-01,6.08915219079900893e+01,6.08915219079900893e+01,7.86000000000000000e+02,7.84730000000000000e+04
5.00000000000000000e+00,1.95673575683857865e-06,1.58494678669674956e-06,7.00966016969417960e-01,6.08914150578988185e+01,6.08914150578988185e+01,7.86000000000000000e+02,8.57320000000000000e+04
6.00000000000000000e+00,7.95734320883868127e-07,6.71731119208482949e-07,7.00965829298147880e-01,6.08913408525048325e+01,6.08913408525048325e+01,7.86000000000000000e+02,9.26050000000000000e+04
7.00000000000000000e+00,3.32380855183211367e-07,2.39064601885705228e-07,7.00965846643922919e-01,6.08913191798464197e+01,6.08913191798464197e+01,7.86000000000000000e+02,9.93540000000000000e+04
8.00000000000000000e+00,1.25146392750768361e-07,5.88841335759753424e-08,7.00965877335765652e-01,6.08913119526019244e+01,6.08913119526019244e+01,7.86000000000000000e+02,1.06073000000000000e+05
9.00000000000000000e+00,4.94881778604428930e-09,2.87327839076436813e-09,7.00965885273989175e-01,6.08913049619781503e+01,6.08913049619781503e+01,7.86000000000000000e+02,1.12712000000000000e+05
1.00000000000000000e+01,1.52802876390103506e-09,3.40951388408188813e-10,7.00965884859886756e-01,6.08913051065220543e+01,6.08913051065220543e+01,7.86000000000000000e+02,1.19033000000000000e+05
1.10000000000000000e+01,8.48924135719417089e-10,2.22781498018291035e-10,7.00965884878480883e-01,6.08913051118475295e+01,6.08913051118475295e+01,7.86000000000000000e+02,1.25189000000000000e+05
1.20000000000000000e+01,1.41078379424053004e-11,1.69414021227590765e-11,7.00965884924683147e-01,6.08913051185545839e+01,6.08913051185545839e+01,7.86000000000000000e+02,1.31336000000000000e+05
