excitation,eps_hole,eps_particle,k_hole,k_particle
9.55462022241773123e-02,7.04099564609690032e-01,7.99645766833867344e-01,4.33012701892219298e-01,5.00000000000000000e-01
1.78219975921936280e-01,7.04099564609690032e-01,8.82319540531626312e-01,4.33012701892219298e-01,5.59016994374947451e-01
2.11688914083242641e-01,5.87956852750624703e-01,7.99645766833867344e-01,3.53553390593273786e-01,5.00000000000000000e-01
2.51907365228373981e-01,7.04099564609690032e-01,9.56006929838064012e-01,4.33012701892219298e-01,6.12372435695794470e-01
2.94362687781001608e-01,5.87956852750624703e-01,8.82319540531626312e-01,3.53553390593273786e-01,5.59016994374947451e-01
3.68050077087439309e-01,5.87956852750624703e-01,9.56006929838064012e-01,3.53553390593273786e-01,6.12372435695794470e-01
3.68912088195955890e-01,4.30733678637911455e-01,7.99645766833867344e-01,2.50000000000000000e-01,5.00000000000000000e-01
3.80605293500006270e-01,7.04099564609690032e-01,1.08470485810969630e+00,4.33012701892219298e-01,7.07106781186547573e-01
4.38082583994115038e-01,7.04099564609690032e-01,1.14218214860380507e+00,4.33012701892219298e-01,7.50000000000000000e-01
4.51585861893714857e-01,4.30733678637911455e-01,8.82319540531626312e-01,2.50000000000000000e-01,5.59016994374947451e-01
4.92037818862283038e-01,7.04099564609690032e-01,1.19613738347197307e+00,4.33012701892219298e-01,7.90569415042094881e-01
4.96748005359071598e-01,5.87956852750624703e-01,1.08470485810969630e+00,3.53553390593273786e-01,7.07106781186547573e-01
