excitation,eps_hole,eps_particle,k_hole,k_particle
9.56051340622520174e-02,7.03736192206370736e-01,7.99341326268622754e-01,4.33012701892219298e-01,5.00000000000000000e-01
1.78321273190933383e-01,7.03736192206370736e-01,8.82057465397304119e-01,4.33012701892219298e-01,5.59016994374947451e-01
2.11835814617891360e-01,5.87505511650731393e-01,7.99341326268622754e-01,3.53553390593273786e-01,5.00000000000000000e-01
2.52040680943333428e-01,7.03736192206370736e-01,9.55776873149704165e-01,4.33012701892219298e-01,6.12372435695794470e-01
2.94551953746572726e-01,5.87505511650731393e-01,8.82057465397304119e-01,3.53553390593273786e-01,5.59016994374947451e-01
3.68271361498972771e-01,5.87505511650731393e-01,9.55776873149704165e-01,3.53553390593273786e-01,6.12372435695794470e-01
3.69202046852550980e-01,4.30139279416071774e-01,7.99341326268622754e-01,2.50000000000000000e-01,5.00000000000000000e-01
3.80783958106770237e-01,7.03736192206370736e-01,1.08452015031314097e+00,4.33012701892219298e-01,7.07106781186547573e-01
4.38277939182023291e-01,7.03736192206370736e-01,1.14201413138839403e+00,4.33012701892219298e-01,7.50000000000000000e-01
4.51918185981232345e-01,4.30139279416071774e-01,8.82057465397304119e-01,2.50000000000000000e-01,5.59016994374947451e-01
4.92247183680439626e-01,7.03736192206370736e-01,1.19598337588681036e+00,4.33012701892219298e-01,7.90569415042094881e-01
4.97014638662409580e-01,5.87505511650731393e-01,1.08452015031314097e+00,3.53553390593273786e-01,7.07106781186547573e-01
