iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,6.22335908435639185e-02,4.50345802087491698e-01,3.89304134821101044e+01,3.89304134821101044e+01,2.09600000000000000e+03,3.31870000000000000e+04
1.00000000000000000e+00,5.99967652444080568e-01,3.74020377753971484e-02,4.50432618991151112e-01,3.89410345156625155e+01,3.89410345156625155e+01,2.39100000000000000e+03,7.97710000000000000e+04
2.00000000000000000e+00,4.78472725128925258e-05,1.16136565507495866e-04,4.50565100151182174e-01,3.89572871969989265e+01,3.89572871969989265e+01,2.39100000000000000e+03,1.27404000000000000e+05
3.00000000000000000e+00,1.83432646994244585e-06,1.17546773548323840e-06,4.50567326564488002e-01,3.89575756675577622e+01,3.89575756675577622e+01,2.39100000000000000e+03,1.73003000000000000e+05
4.00000000000000000e+00,2.33325745112991822e-07,1.06127790228156743e-07,4.50567300919807789e-01,3.89575719714814852e+01,3.89575719714814852e+01,2.39100000000000000e+03,1.91867000000000000e+05
5.00000000000000000e+00,1.20009797624151585e-07,5.76238870370140634e-08,4.50567300717672148e-01,3.89575716974730426e+01,3.89575716974730426e+01,2.39100000000000000e+03,2.10182000000000000e+05
6.00000000000000000e+00,5.21912425281344444e-08,2.62088353430059526e-08,4.50567300609284294e-01,3.89575715298917373e+01,3.89575715298917373e+01,2.39100000000000000e+03,2.28181000000000000e+05
7.00000000000000000e+00,1.96296512562091385e-08,1.02306236004261948e-08,4.50567300544891469e-01,3.89575714452489237e+01,3.89575714452489237e+01,2.39100000000000000e+03,2.46236000000000000e+05
8.00000000000000000e+00,3.29015318696650267e-09,1.72328952001875951e-09,4.50567300525228975e-01,3.89575714020805464e+01,3.89575714020805464e+01,2.39100000000000000e+03,2.64323000000000000e+05
9.00000000000000000e+00,3.01415568454663952e-11,4.22910959804696933e-12,4.50567300446340802e-01,3.89575713799688117e+01,3.89575713799688117e+01,2.39100000000000000e+03,2.82130000000000000e+05
