x0,w0_tangent,wa_tangent,a_zero,z_zero,a_cross,z_cross,a_bounce,z_bounce,q0,cs2_today,wfit_requested_defined,wfit_requested_w0,wfit_requested_wa,wfit_restricted_a_lo,wfit_restricted_w0,wfit_restricted_wa
-4.79999999999999982e-01,-9.23076923076923017e-01,-5.32544378698224818e+00,7.82973528233772753e-01,2.77182387322588486e-01,9.86484829732187984e-01,1.37003325955666888e-02,7.31099024949473097e-01,3.67803766485820249e-01,-4.62138076923076846e-01,-2.39999999999999787e+01,0.00000000000000000e+00,nan,nan,8.61773876012753459e-01,-6.81091842972499584e-01,-1.35550410705652844e+01
-4.78999999999999981e-01,-9.19385796545105549e-01,-5.29396811830195002e+00,7.82429418587908154e-01,2.78070553385828756e-01,9.85799294535912418e-01,1.44052704671215892e-02,7.30503916507262208e-01,3.68918054240245263e-01,-4.58290575815738843e-01,-2.28095238095237889e+01,0.00000000000000000e+00,nan,nan,8.61175005857397924e-01,-6.76552935411954381e-01,-1.35117624834179821e+01
-4.77999999999999980e-01,-9.15708812260536353e-01,-5.26269432333641607e+00,7.81884551128554262e-01,2.78961195174687759e-01,9.85112804554469701e-01,1.51121733234025335e-02,7.29908263042805094e-01,3.70035181998419782e-01,-4.54457816091953903e-01,-2.17272727272727089e+01,0.00000000000000000e+00,nan,nan,8.60575301620372435e-01,-6.72030576111374178e-01,-1.34686345927694262e+01
-4.76999999999999980e-01,-9.12045889101338325e-01,-5.23162077878396747e+00,7.81338923211557290e-01,2.79854324791185993e-01,9.84425356456434919e-01,1.58210507697891245e-02,7.29312062219597879e-01,3.71155163616226025e-01,-4.50639713193116576e-01,-2.07391304347825880e+01,0.00000000000000000e+00,nan,nan,8.59974760391409077e-01,-6.67524686990897065e-01,-1.34256565719951588e+01
-4.75999999999999979e-01,-9.08396946564885455e-01,-5.20074587727987758e+00,7.80792532177970955e-01,2.80749954422032877e-01,9.83736946891745623e-01,1.65319124788794181e-02,7.28715311688401757e-01,3.72278013046059675e-01,-4.46836183206106741e-01,-1.98333333333333144e+01,0.00000000000000000e+00,nan,nan,8.59373379243958846e-01,-6.63035190513892592e-01,-1.33828276001311934e+01
-4.74999999999999978e-01,-9.04761904761904656e-01,-5.17006802721088388e+00,7.80245375353942450e-01,2.81648096339398801e-01,9.83047572491558497e-01,1.72447681911009898e-02,7.28118009087142637e-01,3.73403744337709398e-01,-4.43047142857142751e-01,-1.89999999999999822e+01,0.00000000000000000e+00,nan,nan,8.58771155235066086e-01,-6.58562009682521432e-01,-1.33401468618230616e+01
-4.73999999999999977e-01,-9.01140684410646320e-01,-5.13958565253220279e+00,7.79697450050597318e-01,2.82548762901695394e-01,9.82357229868103921e-01,1.79596277153322159e-02,7.27520152040812329e-01,3.74532371639242356e-01,-4.39272509505703290e-01,-1.82307692307692122e+01,0.00000000000000000e+00,nan,nan,8.58168085405241476e-01,-6.54105068033353110e-01,-1.32976135472755903e+01
-4.72999999999999976e-01,-8.97533206831119479e-01,-5.10929719258701809e+00,7.79148753563923102e-01,2.83451966554365775e-01,9.81665915614539752e-01,1.86765009295273288e-02,7.26921738161365516e-01,3.75663909197905044e-01,-4.35512201138519739e-01,-1.75185185185185013e+01,0.00000000000000000e+00,nan,nan,8.57564166778334025e-01,-6.49664289633027359e-01,-1.32552268522029699e+01
-4.71999999999999975e-01,-8.93939393939393812e-01,-5.07920110192837360e+00,7.78599283174652101e-01,2.84357719830682365e-01,9.80973626304803337e-01,1.93953977813516865e-02,7.26322765047617835e-01,3.76798371361029671e-01,-4.31766136363636255e-01,-1.68571428571428399e+01,0.00000000000000000e+00,nan,nan,8.56959396361402503e-01,-6.45239599073956782e-01,-1.32129859777794447e+01
-4.70999999999999974e-01,-8.90359168241965926e-01,-5.04929585014347371e+00,7.78049036148142470e-01,2.85266035352555125e-01,9.80280358493461734e-01,2.01163282888217054e-02,7.25723230285143073e-01,3.77935772576952100e-01,-4.28034234404536695e-01,-1.62413793103448114e+01,0.00000000000000000e+00,nan,nan,8.56353771144583997e-01,-6.40830921470090797e-01,-1.31708901305905197e+01
