x0,z_max_restricted,cpl_w0,cpl_wa,cpl_rms_mag,wconst,wconst_rms_mag,requested_defined,requested_cpl_w0,requested_cpl_wa,requested_wconst
-3.49999999999999978e-01,5.42856429660109052e-01,1.38924164002610828e+00,-2.44640986840458190e+01,6.71739156138747850e-02,-1.84296495541930216e+00,1.05399829517546562e-01,0.00000000000000000e+00,nan,nan,nan
-3.40000000000000024e-01,5.59608999376492333e-01,1.30100256191206376e+00,-2.26882344427116784e+01,6.42244644171824502e-02,-1.76233925826847537e+00,1.01774443117703839e-01,0.00000000000000000e+00,nan,nan,nan
-3.30000000000000016e-01,5.76992274050081244e-01,1.31939301475386350e+00,-2.19271747913775812e+01,6.65447901679395715e-02,-1.71843028068542414e+00,1.04384462565698791e-01,0.00000000000000000e+00,nan,nan,nan
-3.20000000000000007e-01,5.95051601960584708e-01,1.33466465678840818e+00,-2.11714434705533563e+01,6.98490121475136699e-02,-1.67327403977513289e+00,1.07547797710779033e-01,0.00000000000000000e+00,nan,nan,nan
-3.09999999999999998e-01,6.13837142287544602e-01,1.19406926337287556e+00,-1.91442355945880003e+01,6.24754995868821508e-02,-1.58038351505994767e+00,9.93975227066566519e-02,0.00000000000000000e+00,nan,nan,nan
-2.99999999999999989e-01,6.33404551544463068e-01,1.16367270322162564e+00,-1.81080352661234976e+01,6.20721479125701595e-02,-1.52381005048751828e+00,9.87974787480764838e-02,0.00000000000000000e+00,nan,nan,nan
-2.89999999999999980e-01,6.53815794744452505e-01,1.11891466037602516e+00,-1.70010967170671350e+01,6.07815576324443815e-02,-1.46335001349449167e+00,9.71511606369022118e-02,0.00000000000000000e+00,nan,nan,nan
-2.80000000000000027e-01,6.75140109172722269e-01,1.15625941417641909e+00,-1.65856427859607685e+01,6.51750632369564320e-02,-1.43106287598609905e+00,1.01662764474216780e-01,0.00000000000000000e+00,nan,nan,nan
-2.70000000000000018e-01,6.97455156120395436e-01,1.07021068746301573e+00,-1.52411704503807215e+01,6.04613153297042100e-02,-1.35944231510162350e+00,9.64570300846501472e-02,0.00000000000000000e+00,nan,nan,nan
-2.60000000000000009e-01,7.20848405780845525e-01,1.06288777476446272e+00,-1.45438807094058511e+01,6.16146565716304134e-02,-1.31449732836335853e+00,9.74693629334991291e-02,0.00000000000000000e+00,nan,nan,nan
-2.50000000000000000e-01,7.45418813596611551e-01,1.03574527651177251e+00,-1.37299350965709657e+01,6.13810994921194855e-02,-1.26372951090335861e+00,9.69210231927491173e-02,0.00000000000000000e+00,nan,nan,nan
-2.39999999999999991e-01,7.71278863915352719e-01,9.86232397626092494e-01,-1.27896256244052360e+01,5.90782746007580059e-02,-1.20651955308858305e+00,9.42454745540296929e-02,0.00000000000000000e+00,nan,nan,nan
-2.30000000000000010e-01,7.98557080661945973e-01,9.24321979230549151e-01,-1.18016117006714349e+01,5.58668216205505178e-02,-1.14544849991798392e+00,9.04611125968733248e-02,0.00000000000000000e+00,nan,nan,nan
-2.20000000000000001e-01,8.27401137486081018e-01,9.07807367799448373e-01,-1.11658126661407557e+01,5.60072627700606562e-02,-1.10091205155476901e+00,9.03936197866838376e-02,0.00000000000000000e+00,nan,nan,nan
