q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
3.39000000000000000e+02,1.44000000000000000e+02,4.60298815988049181e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21799452752168058e+01,-1.21799452752168058e+01,0.00000000000000000e+00
3.38000000000000000e+02,1.80000000000000000e+02,4.59619407771255872e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,7.20000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21698605170193410e+01,-1.21698605170193410e+01,0.00000000000000000e+00
3.37000000000000000e+02,9.60000000000000000e+01,4.58938993767145487e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21597574750527073e+01,-1.21597574750527073e+01,0.00000000000000000e+00
3.36000000000000000e+02,4.80000000000000000e+01,4.58257569495583983e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21496360599238074e+01,-1.21496360599238074e+01,0.00000000000000000e+00
3.34000000000000000e+02,1.44000000000000000e+02,4.56891672062426668e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21293377490558392e+01,-1.21293377490558392e+01,0.00000000000000000e+00
3.33000000000000000e+02,1.20000000000000000e+02,4.56207189772366473e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21191606709561999e+01,-1.21191606709561999e+01,0.00000000000000000e+00
3.32000000000000000e+02,7.20000000000000000e+01,4.55521678957214959e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.21089648549572590e+01,-1.21089648549572590e+01,0.00000000000000000e+00
3.31000000000000000e+02,7.20000000000000000e+01,4.54835134966506338e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,2.88000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20987502080439597e+01,-1.20987502080439597e+01,0.00000000000000000e+00
3.30000000000000000e+02,9.60000000000000000e+01,4.54147553114623737e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20885166364526011e+01,-1.20885166364526011e+01,0.00000000000000000e+00
3.29000000000000000e+02,2.88000000000000000e+02,4.53458928680426343e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.15200000000000000e+03,0.00000000000000000e+00,0.00000000000000000e+00,-1.20782640456625447e+01,-1.20782640456625447e+01,0.00000000000000000e+00
