iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.97376986284913570e-04,1.00000000000000000e+00,2.39070288797493076e-03,1.66075679649752050e+00,-2.51876790092861631e-03,-1.01595134677752528e-02,-1.01595134677752528e-02,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+00,1.09899693303258748e-03,5.15624945570927529e-01,1.09899693303258748e-03,4.16211934378784676e-01,-2.09688228099395683e-03,-7.42237153735425710e-03,-7.42237153735425710e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+00,9.92195475827549640e-04,1.16446436085010235e-01,9.92195475827549640e-04,3.14741787343630564e-01,-1.81227003478868554e-03,-7.65855222355308219e-03,-7.65855222355308219e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
4.00000000000000000e+00,1.43812978354902705e-04,6.09433462118067967e-02,1.43812978354902705e-04,1.32869156845629277e-01,-1.66537708014978482e-03,-7.88274858899791486e-03,-7.88274858899791486e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
5.00000000000000000e+00,9.31452653074368712e-05,1.87588775865439351e-02,9.31452653074368712e-05,3.53969301435468342e-02,-1.68096792963947739e-03,-7.86416117343438983e-03,-7.86416117343438983e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
6.00000000000000000e+00,2.49753045528108951e-05,1.40203487129756960e-02,2.49753045528108951e-05,3.24302079969702728e-02,-1.69852812863068633e-03,-7.86765180223717234e-03,-7.86765180223717234e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
7.00000000000000000e+00,1.50057393961863230e-05,2.50458108923280222e-03,1.50057393961863230e-05,7.77255302512513957e-03,-1.69145295559618050e-03,-7.86669197459414701e-03,-7.86669197459414701e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
8.00000000000000000e+00,2.51226338138981907e-06,1.17813421246624138e-03,2.51226338138981907e-06,2.77724672156387520e-03,-1.69240816841013139e-03,-7.86668162925983731e-03,-7.86668162925983731e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
9.00000000000000000e+00,2.84078310480198328e-07,4.09262277305961857e-04,6.41847867641563757e-07,1.11624291480882931e-03,-1.69106822500421534e-03,-7.86668119103705460e-03,-7.86668119103705460e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.00000000000000000e+01,1.65969666712848558e-07,4.27979175683809287e-04,6.71193903235281017e-07,1.13214435363562238e-03,-1.69104984959225356e-03,-7.86668119723914379e-03,-7.86668119723914379e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.10000000000000000e+01,1.02404951805032008e-08,2.28178812603302690e-06,1.02404951805032008e-08,3.93968686507317756e-06,-1.69135866161267438e-03,-7.86668031309123786e-03,-7.86668031309123786e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.20000000000000000e+01,2.86058692559170566e-09,6.09227008074804294e-07,2.86058692559170566e-09,1.95818241977008256e-06,-1.69135817949141154e-03,-7.86668031314258567e-03,-7.86668031314258567e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.30000000000000000e+01,9.78116065758173743e-11,1.16322053540702934e-07,1.82461678759799186e-10,5.85459110302721797e-07,-1.69135813380352426e-03,-7.86668031309546711e-03,-7.86668031309546711e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
1.40000000000000000e+01,4.17365562041769505e-11,4.89017985793895662e-08,7.67069007798264675e-11,1.74181493672875831e-07,-1.69135812601234510e-03,-7.86668031309895738e-03,-7.86668031309895738e-03,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
