iteration,residualN,residualS,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,3.28467154123119748e-02,3.12568472109252149e-01,1.13533344417605010e-07,4.54063365577326018e-07,4.54063365577326018e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+00,1.97080292473870121e-02,3.89943449757393923e-01,1.13531646097146593e-07,4.54097288179724383e-07,4.54097288179724383e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+00,2.09405306934080094e-14,1.69342715505793695e+00,1.13528990022538012e-07,4.54116096010911656e-07,4.54116096010911656e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
4.00000000000000000e+00,7.03883384652374650e-15,1.01613538174282825e+00,1.13528997709040586e-07,4.54116009944084997e-07,4.54116009944084997e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
5.00000000000000000e+00,4.31128573099580976e-15,6.09558380757634022e-01,1.13528987699291174e-07,4.54115959490962000e-07,4.54115959490962000e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
6.00000000000000000e+00,8.44660061582847308e-15,3.65732967840773138e-01,1.13528951545561260e-07,4.54115908351329651e-07,4.54115908351329651e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
7.00000000000000000e+00,5.63106707721896549e-15,2.19468013703459475e-01,1.13528942074102213e-07,4.54115845889457236e-07,4.54115845889457236e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
8.00000000000000000e+00,6.33495046187136270e-15,1.31679248102827579e-01,1.13528968016403574e-07,4.54116059893470090e-07,4.54116059893470090e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
9.00000000000000000e+00,2.11165015395711945e-15,7.89777901420481016e-02,1.13528976057709959e-07,4.54115898979431650e-07,4.54115898979431650e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.00000000000000000e+01,1.49575219238628974e-15,8.23027193483561495e-05,1.13528974448876119e-07,4.54115939552014527e-07,4.54115939552014527e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.10000000000000000e+01,3.69538776942494632e-15,9.24231435763161254e-05,1.13529002014629600e-07,4.54116186452320333e-07,4.54116186452320333e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.20000000000000000e+01,3.34344607709875758e-15,1.47829780265653802e-04,1.13528933759971068e-07,4.54115942452187681e-07,4.54115942452187681e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.30000000000000000e+01,6.86286300036067816e-15,1.23227260108143037e-04,1.13528999886522120e-07,4.54116127680985451e-07,4.54116127680985451e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.40000000000000000e+01,4.39927115407734590e-15,9.19469396887186868e-05,1.13528945866242446e-07,4.54115754735772836e-07,4.54115754735772836e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.50000000000000000e+01,2.63956269244639113e-15,5.22487900911442344e-05,1.13528966451423211e-07,4.54115850532678612e-07,4.54115850532678612e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.60000000000000000e+01,3.60740234634340703e-15,3.07631437576895802e-05,1.13528981835977150e-07,4.54115968468697348e-07,4.54115968468697348e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.70000000000000000e+01,8.44660061582849201e-15,3.86935027511539644e-05,1.13528964336294936e-07,4.54115976908360469e-07,4.54115976908360469e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.80000000000000000e+01,8.97451315431767100e-15,6.94733890868075630e-05,1.13529005797468909e-07,4.54116129085476086e-07,4.54116129085476086e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
1.90000000000000000e+01,5.98300876954520156e-15,9.23087670310463419e-05,1.13528976052496590e-07,4.54115979823249074e-07,4.54115979823249074e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+01,2.72754811552794897e-15,1.16456479038648793e-04,1.13528944158255870e-07,4.54115730887949312e-07,4.54115730887949312e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.10000000000000000e+01,6.15897961570822099e-15,8.69511247566955085e-05,1.13529008686091486e-07,4.54116168209399795e-07,4.54116168209399795e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.20000000000000000e+01,4.57524200024042607e-15,5.24592140516450141e-05,1.13528946868300806e-07,4.54115785972026902e-07,4.54115785972026902e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.30000000000000000e+01,6.51092130803448468e-15,9.73283475641295229e-05,1.13528970667468230e-07,4.54115931269773855e-07,4.54115931269773855e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.40000000000000000e+01,6.86286300036060716e-15,5.13476630153499939e-05,1.13529002680283385e-07,4.54116066721325915e-07,4.54116066721325915e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.50000000000000000e+01,3.16747523093567898e-15,8.42282139100896407e-05,1.13528981737641932e-07,4.54116048373319505e-07,4.54116048373319505e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.60000000000000000e+01,5.80703792338203935e-15,5.46684163150314655e-05,1.13528995073103647e-07,4.54116019587473151e-07,4.54116019587473151e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.70000000000000000e+01,1.67172303854938569e-15,4.06797072962462042e-05,1.13528987444560017e-07,4.54115993748821293e-07,4.54115993748821293e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.80000000000000000e+01,3.34344607709876586e-15,1.34030026208272846e-04,1.13528965239915864e-07,4.54115871758774228e-07,4.54115871758774228e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
2.90000000000000000e+01,5.80703792338204408e-15,1.82833260141126471e-04,1.13528969675324841e-07,4.54115928007741767e-07,4.54115928007741767e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+01,3.69538776942494711e-15,1.28955389647854632e-04,1.13529013067938717e-07,4.54116158229504721e-07,4.54116158229504721e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
3.10000000000000000e+01,4.75121284640353543e-15,7.84252236079250589e-05,1.13528991478451038e-07,4.54115987782476537e-07,4.54115987782476537e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
3.20000000000000000e+01,3.34344607709877020e-15,4.38129539598375496e-05,1.13528980303197446e-07,4.54116119050796668e-07,4.54116119050796668e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
3.30000000000000000e+01,2.81553353860949773e-15,4.07208886926625400e-05,1.13528964405702165e-07,4.54115963531493229e-07,4.54115963531493229e-07,4.30000000000000000e+01,2.30000000000000000e+01,0.00000000000000000e+00
