iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,1.21610393121594270e-02,1.85255947919125779e-03,1.21610393121594270e-02,4.96894602086633830e-03,7.00979601425464005e-01,6.08926357940429241e+01,6.08926357940429241e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,7.29634124264601138e-03,1.11184040509173490e-03,7.29634124264601138e-03,2.72066254350639136e-03,7.00980044961491466e-01,6.08926357550206347e+01,6.08926357550206347e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,3.83759602341281303e-07,7.14445997876070360e-06,5.89207857838593774e-07,4.10755743981472410e-04,7.00980615641788485e-01,6.08926357407742032e+01,6.08926357407742032e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,9.50452182277552101e-09,2.43389680207425043e-07,2.00724710967649849e-08,1.53885817898213872e-04,7.00980502033323960e-01,6.08926357407406940e+01,6.08926357407406940e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,4.85730160606704085e-09,5.79177016853897491e-08,4.85730160606704085e-09,2.23128426695695659e-05,7.00980500937752882e-01,6.08926357407058205e+01,6.08926357407058205e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,3.07259632675144078e-09,1.36813385870101383e-08,3.07259632675144078e-09,1.63688570042896941e-05,7.00980500905267423e-01,6.08926357407075045e+01,6.08926357407075045e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,6.99710419994128119e-10,6.29187206942722005e-09,6.99710419994128119e-10,8.95539149503576937e-06,7.00980501069557893e-01,6.08926357407079095e+01,6.08926357407079095e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,2.34280954705158404e-10,2.23060196796504224e-09,2.34280954705158404e-10,4.23003438099200935e-06,7.00980501126127642e-01,6.08926357407085348e+01,6.08926357407085348e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,1.76457590058305036e-10,9.97068315055058787e-10,1.76457590058305036e-10,1.98321825872760371e-06,7.00980501124992106e-01,6.08926357407067371e+01,6.08926357407067371e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,1.07276083145683037e-11,1.48807678369244137e-11,1.07276083145683037e-11,6.02031016150306186e-08,7.00980501111049592e-01,6.08926357407077958e+01,6.08926357407077958e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
