iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,3.18007094341458702e-03,3.22785170894726234e-02,3.18007094341458702e-03,7.20859665639873026e-01,7.00824600753600979e-01,6.09128734050978764e+01,6.09128734050978764e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
2.00000000000000000e+00,1.83691619930120321e-03,1.79247701886542862e-02,1.83691619930120321e-03,4.44644504852099443e-01,7.00987775429168125e-01,6.09122451478772362e+01,6.09122451478772362e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
3.00000000000000000e+00,6.85141122489168959e-05,3.20785371949748859e-04,6.85141122489168959e-05,1.62920982648938617e-01,7.01196318382713124e-01,6.09120419223567566e+01,6.09120419223567566e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
4.00000000000000000e+00,6.69465733998077265e-06,2.83535936675795204e-05,6.69465733998077265e-06,3.88206875539194862e-02,7.01193634065889415e-01,6.09120038499100502e+01,6.09120038499100502e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
5.00000000000000000e+00,2.65693102927804337e-06,1.61523218938481113e-05,2.65693102927804337e-06,1.54676534590358350e-02,7.01193333425763177e-01,6.09120066380317340e+01,6.09120066380317340e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
6.00000000000000000e+00,4.80435590388645421e-07,3.81504929462833940e-06,4.80435590388645421e-07,7.65188258403459720e-03,7.01192981260829185e-01,6.09120066301871859e+01,6.09120066301871859e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
7.00000000000000000e+00,2.13880660190683401e-08,1.15196208607284806e-07,2.13880660190683401e-08,1.08460469215310162e-04,7.01193025409358017e-01,6.09120066075770197e+01,6.09120066075770197e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
8.00000000000000000e+00,5.53008046165419783e-09,5.22320706532468338e-08,5.53008046165419783e-09,9.42268101178367345e-05,7.01193023328805509e-01,6.09120066075931419e+01,6.09120066075931419e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
9.00000000000000000e+00,1.54671979477621913e-09,4.85622863387446621e-09,1.54671979477621913e-09,1.13695611569930577e-05,7.01193023838584062e-01,6.09120066075868678e+01,6.09120066075868678e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
1.00000000000000000e+01,1.11751125984662190e-10,5.59742773363815891e-10,1.11751125984662190e-10,2.01450038117556574e-06,7.01193023906160118e-01,6.09120066075869246e+01,6.09120066075869246e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
1.10000000000000000e+01,3.45017744802104184e-11,2.83064614710417701e-10,3.45017744802104184e-11,1.07943041327551725e-06,7.01193023900742562e-01,6.09120066075868820e+01,6.09120066075868820e+01,3.26000000000000000e+02,1.17000000000000000e+02,0.00000000000000000e+00
