excitation,eps_hole,eps_particle,k_hole,k_particle
4.31898697078223370e-01,-1.68579328456775705e-03,4.30212903793655621e-01,0.00000000000000000e+00,2.50000000000000000e-01
4.31898697078223370e-01,-1.68579328456775705e-03,4.30212903793655621e-01,0.00000000000000000e+00,2.50000000000000000e-01
5.89384933645693776e-01,-1.68579328456775705e-03,5.87699140361126027e-01,0.00000000000000000e+00,3.53553390593273786e-01
5.89384933645693776e-01,-1.68579328456775705e-03,5.87699140361126027e-01,0.00000000000000000e+00,3.53553390593273786e-01
7.05613014645147030e-01,-1.68579328456775705e-03,7.03927221360579281e-01,0.00000000000000000e+00,4.33012701892219298e-01
7.05613014645147030e-01,-1.68579328456775705e-03,7.03927221360579281e-01,0.00000000000000000e+00,4.33012701892219298e-01
8.01199988053243772e-01,-1.68579328456775705e-03,7.99514194768676023e-01,0.00000000000000000e+00,5.00000000000000000e-01
8.01199988053243772e-01,-1.68579328456775705e-03,7.99514194768676023e-01,0.00000000000000000e+00,5.00000000000000000e-01
8.83897417310034794e-01,-1.68579328456775705e-03,8.82211624025467045e-01,0.00000000000000000e+00,5.59016994374947451e-01
8.83897417310034794e-01,-1.68579328456775705e-03,8.82211624025467045e-01,0.00000000000000000e+00,5.59016994374947451e-01
9.57600222444759286e-01,-1.68579328456775705e-03,9.55914429160191537e-01,0.00000000000000000e+00,6.12372435695794470e-01
9.57600222444759286e-01,-1.68579328456775705e-03,9.55914429160191537e-01,0.00000000000000000e+00,6.12372435695794470e-01
