iteration,residualN,residualS,residualD,residualPotential,mu,energy,free,states,shellsExact,shellsInterpolated
1.00000000000000000e+00,2.91029035503036630e-06,1.00000000000000000e+00,2.36987561698911639e-04,1.60614543051389447e-02,2.49786542972096372e-04,9.99229369840465894e-04,9.99229369840465894e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
2.00000000000000000e+00,1.30005654914158745e-05,5.99196380999525324e-01,1.41715604278015559e-04,9.56722800909215465e-03,2.49307618930171210e-04,9.96005830829046514e-04,9.96005830829046514e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
3.00000000000000000e+00,2.02611183836613686e-05,2.36398347056184302e-03,2.02611183836613686e-05,7.74737608884371043e-04,2.48111670314383017e-04,9.94251669939590381e-04,9.94251669939590381e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
4.00000000000000000e+00,8.05277930962494341e-08,1.11178852183789999e-03,2.60814640709177396e-07,5.41420957356208987e-05,2.47385447506738403e-04,9.94267317926302973e-04,9.94267317926302973e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
5.00000000000000000e+00,1.72997060508530897e-07,6.60233392118605197e-05,1.72997060508530897e-07,6.64701969718684005e-06,2.47382298931357245e-04,9.94267293382442106e-04,9.94267293382442106e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
6.00000000000000000e+00,4.40712206100357511e-08,5.13108888143081673e-06,4.40712206100357511e-08,1.69333669666760223e-06,2.47386989920895628e-04,9.94267294327733911e-04,9.94267294327733911e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
7.00000000000000000e+00,7.30751607614985219e-09,1.06567973733635371e-06,7.30751607614985219e-09,2.80774731589716886e-07,2.47387961310642371e-04,9.94267294408865193e-04,9.94267294408865193e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
8.00000000000000000e+00,1.09546597636112909e-10,1.96666838001014816e-07,1.09546597636112909e-10,1.42220186738484244e-08,2.47388157075031337e-04,9.94267294399623670e-04,9.94267294399623670e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
9.00000000000000000e+00,1.07267361706510933e-11,1.21808176573383076e-07,2.85753280420669817e-11,8.73631256226303776e-09,2.47388154365468782e-04,9.94267294386202332e-04,9.94267294386202332e-04,1.97000000000000000e+02,7.60000000000000000e+01,0.00000000000000000e+00
