t,Q,E2,kappa,wkb_W,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,norm_hilbert,norm_krein,ln_norm_hilbert,krein_drift,krein_drift_normalized
0.00000000000000000e+00,5.00000000000000028e-02,9.97500000000000053e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99374608885954530e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.50000000000000014e-02,-4.99374608885954530e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.00000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.98749217771909059e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
9.99288712258998395e-03,5.05021491373351186e-02,9.97449532932510374e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99349738839157176e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49987507607570478e-02,-4.99349738839157176e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49987507607570478e-02,0.00000000000000000e+00,-4.99011125716220492e-03,-1.25236928388387160e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.99011125716220492e-03,-1.25236928388387160e-06,0.00000000000000000e+00,-4.98380709622135362e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.50756365700750806e-04,4.98380709622135362e-03,0.00000000000000000e+00,0.00000000000000000e+00,-2.50756365700750806e-04,0.00000000000000000e+00,-4.99975098598253120e-01,4.17437684915936947e-09,0.00000000000000000e+00,0.00000000000000000e+00,-4.99975098598253120e-01,4.17437684915936947e-09,0.00000000000000000e+00,1.00000000172104109e+00,9.98749217813314272e-01,1.72104108594033547e-09,4.14052125918829006e-11,4.14052125206228289e-11
1.99857742451799679e-02,5.10093413497927639e-02,9.97398047095060303e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99275133680284089e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49949864144914137e-02,-4.99275133680284089e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49949864144914137e-02,0.00000000000000000e+00,-9.97972549221198477e-03,-5.02598404698408433e-06,0.00000000000000000e+00,0.00000000000000000e+00,-9.97972549221198477e-03,-5.02598404698408433e-06,0.00000000000000000e+00,-9.96699172972275067e-03,0.00000000000000000e+00,0.00000000000000000e+00,5.04005972246058804e-04,9.96699172972275067e-03,0.00000000000000000e+00,0.00000000000000000e+00,-5.04005972246058804e-04,0.00000000000000000e+00,-4.99900398536873625e-01,3.35543214195579283e-08,0.00000000000000000e+00,0.00000000000000000e+00,-4.99900398536873625e-01,3.35543214195579283e-08,0.00000000000000000e+00,1.00000001361394619e+00,9.98749217813338031e-01,1.36139460999223870e-08,4.14289713646098789e-11,4.14289708005980966e-11
2.99786613677699536e-02,5.15216272848893764e-02,9.97345521921916944e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.99150804720171148e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49886818287742528e-02,-4.99150804720171148e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49886818287742528e-02,0.00000000000000000e+00,-1.49683457800145591e-02,-1.13454090590225546e-05,0.00000000000000000e+00,0.00000000000000000e+00,-1.49683457800145591e-02,-1.13454090590225546e-05,0.00000000000000000e+00,-1.49490563686760468e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.59748507423729205e-04,1.49490563686760468e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.59748507423729205e-04,0.00000000000000000e+00,-4.99775909855928568e-01,1.13806369163119258e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99775909855928568e-01,1.13806369163119258e-07,0.00000000000000000e+00,1.00000004630577033e+00,9.98749217813469259e-01,4.63057692571569333e-08,4.15601997261205724e-11,4.15601978016435959e-11
3.99715484903599358e-02,5.20390580987935489e-02,9.97291936432190385e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98976768301291784e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49798116206233455e-02,-4.98976768301291784e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49798116206233455e-02,0.00000000000000000e+00,-1.99554753473197358e-02,-2.02349466498754688e-05,0.00000000000000000e+00,0.00000000000000000e+00,-1.99554753473197358e-02,-2.02349466498754688e-05,0.00000000000000000e+00,-1.99295036460697093e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.01798340450420647e-03,1.99295036460697093e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.01798340450420647e-03,0.00000000000000000e+00,-4.99601647608301447e-01,2.71098877391651506e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99601647608301447e-01,2.71098877391651506e-07,0.00000000000000000e+00,1.00000011079517392e+00,9.98749217813774126e-01,1.10795167786531426e-07,4.18650669686826404e-11,4.18650623302357805e-11
4.99644356129499215e-02,5.25616854614343737e-02,9.97237269221453282e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98753045807464823e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49683501535970138e-02,-4.98753045807464823e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49683501535970138e-02,0.00000000000000000e+00,-2.49406176237992674e-02,-3.17186286310504976e-05,0.00000000000000000e+00,0.00000000000000000e+00,-2.49406176237992674e-02,-3.17186286310504976e-05,0.00000000000000000e+00,-2.49078364110862545e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.27870983672402259e-03,2.49078364110862545e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.27870983672402259e-03,0.00000000000000000e+00,-4.99377631869242500e-01,5.32105413112157964e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99377631869242500e-01,5.32105413112157964e-07,0.00000000000000000e+00,1.00000021850057497e+00,9.98749217814161927e-01,2.18500551095393054e-07,4.22528678711842076e-11,4.22528586389103031e-11
5.99573227355399072e-02,5.30895615616611485e-02,9.97181498453190596e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98479663662700190e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49542715353966681e-02,-4.98479663662700190e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49542715353966681e-02,0.00000000000000000e+00,-2.99232762935554009e-02,-4.58202086027162080e-05,0.00000000000000000e+00,0.00000000000000000e+00,-2.99232762935554009e-02,-4.58202086027162080e-05,0.00000000000000000e+00,-2.98835577809310297e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.54192671217787841e-03,2.98835577809310297e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.54192671217787841e-03,0.00000000000000000e+00,-4.99103887735096008e-01,9.24007089784897842e-07,0.00000000000000000e+00,0.00000000000000000e+00,-4.99103887735096008e-01,9.24007089784897842e-07,0.00000000000000000e+00,1.00000038126709212e+00,9.98749217814280499e-01,3.81267019437661935e-07,4.23714396902141743e-11,4.23714235353847340e-11
6.99502098581298859e-02,5.36227391124549022e-02,9.97124601850077563e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98156653329615284e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49375496154629339e-02,-4.98156653329615284e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49375496154629339e-02,0.00000000000000000e+00,-3.49029553475155088e-02,-6.25631540602910582e-05,0.00000000000000000e+00,0.00000000000000000e+00,-3.49029553475155088e-02,-6.25631540602910582e-05,0.00000000000000000e+00,-3.48561711935559612e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.80763266855483431e-03,3.48561711935559612e-02,0.00000000000000000e+00,0.00000000000000000e+00,-1.80763266855483431e-03,0.00000000000000000e+00,-4.98780445321598487e-01,1.47449488899670209e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.98780445321598487e-01,1.47449488899670209e-06,0.00000000000000000e+00,1.00000061137410046e+00,9.98749217814020152e-01,6.11373913567460625e-07,4.21110923909395751e-11,4.21110666453240876e-11
7.99430969807198716e-02,5.41612713561922116e-02,9.97066556685080929e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97784051307461117e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.49181579827658546e-02,-4.97784051307461117e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.49181579827658546e-02,0.00000000000000000e+00,-3.98791591330198217e-02,-8.19706388344254664e-05,0.00000000000000000e+00,0.00000000000000000e+00,-3.98791591330198217e-02,-8.19706388344254664e-05,0.00000000000000000e+00,-3.98251804575632945e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.07582606806713636e-03,3.98251804575632945e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.07582606806713636e-03,0.00000000000000000e+00,-4.98407339761796964e-01,2.21177176881906923e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.98407339761796964e-01,2.21177176881906923e-06,0.00000000000000000e+00,1.00000092154266196e+00,9.98749217813837409e-01,9.21542237337807850e-07,4.19283496810862744e-11,4.19283110423589030e-11
8.99359841033098573e-02,5.47052120699619074e-02,9.97007339772380541e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97361899129095897e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.48960699634373089e-02,-4.97361899129095897e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.48960699634373089e-02,0.00000000000000000e+00,-4.48513924056595029e-02,-1.04065535126572273e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.48513924056595029e-02,-1.04065535126572273e-04,0.00000000000000000e+00,-4.47900898043770354e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.34650499208765391e-03,4.47900898043770354e-02,0.00000000000000000e+00,0.00000000000000000e+00,-2.34650499208765391e-03,0.00000000000000000e+00,-4.97984611202907490e-01,3.16455487707061571e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.97984611202907490e-01,3.16455487707061571e-06,0.00000000000000000e+00,1.00000132494114946e+00,9.98749217813301060e-01,1.32494027172716263e-06,4.13920009378898612e-11,4.13919460959972222e-11
