t,Q,E2,kappa,wkb_W,u_re_0,u_re_1,u_re_2,u_re_3,u_re_4,u_re_5,u_re_6,u_re_7,u_re_8,u_re_9,u_re_10,u_re_11,u_re_12,u_re_13,u_re_14,u_re_15,u_im_0,u_im_1,u_im_2,u_im_3,u_im_4,u_im_5,u_im_6,u_im_7,u_im_8,u_im_9,u_im_10,u_im_11,u_im_12,u_im_13,u_im_14,u_im_15,norm_hilbert,norm_krein,ln_norm_hilbert,krein_drift,krein_drift_normalized
8.83764182165674289e-02,1.09239924362157848e-01,9.88066638925350071e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95573382005552066e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.98009903886275918e-02,-4.95573382005552066e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.98009903886275918e-02,0.00000000000000000e+00,-4.39101278658645816e-02,-2.00880802162842079e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.39101278658645816e-02,-2.00880802162842079e-04,0.00000000000000000e+00,-4.36699375080643049e-02,0.00000000000000000e+00,0.00000000000000000e+00,4.59088666109438558e-03,4.36699375080643049e-02,0.00000000000000000e+00,0.00000000000000000e+00,-4.59088666109438558e-03,0.00000000000000000e+00,-4.98069388298827020e-01,5.97840840323925579e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.98069388298827020e-01,5.97840840323925579e-06,0.00000000000000000e+00,1.00000502111360934e+00,9.94987437128895813e-01,5.02110100358935919e-06,2.22758478329865284e-11,2.22757359839854217e-11
9.72140600382241787e-02,1.10209626314106468e-01,9.87853838267705009e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95170656760357708e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.97584917130480392e-02,-4.95170656760357708e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97584917130480392e-02,0.00000000000000000e+00,-4.82880832056401046e-02,-2.43727492079532482e-04,0.00000000000000000e+00,0.00000000000000000e+00,-4.82880832056401046e-02,-2.43727492079532482e-04,0.00000000000000000e+00,-4.80216634023631350e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.07131411326064777e-03,4.80216634023631350e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.07131411326064777e-03,0.00000000000000000e+00,-4.97664431871695012e-01,7.99153217913692838e-06,0.00000000000000000e+00,0.00000000000000000e+00,-4.97664431871695012e-01,7.99153217913692838e-06,0.00000000000000000e+00,1.00000674078722684e+00,9.94987437128565633e-01,6.74076450784022366e-06,2.19456675054630068e-11,2.19455195753849671e-11
1.06051701859880915e-01,1.11187936125142384e-01,9.87637242860231246e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.94729770417511538e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.97117405211652610e-02,-4.94729770417511538e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.97117405211652610e-02,0.00000000000000000e+00,-5.26623129728193973e-02,-2.90839142188055585e-04,0.00000000000000000e+00,0.00000000000000000e+00,-5.26623129728193973e-02,-2.90839142188055585e-04,0.00000000000000000e+00,-5.23692559027134977e-02,0.00000000000000000e+00,0.00000000000000000e+00,5.55561258997792039e-03,5.23692559027134977e-02,0.00000000000000000e+00,0.00000000000000000e+00,-5.55561258997792039e-03,0.00000000000000000e+00,-4.97221080380182867e-01,1.04197464876448912e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.97221080380182867e-01,1.04197464876448912e-05,0.00000000000000000e+00,1.00000882671224467e+00,9.94987437127483720e-01,8.82667328947417127e-06,2.08637551679657918e-11,2.08635710112280780e-11
1.14889343681537665e-01,1.12174930205587220e-01,9.87416785033371602e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.94250769956523561e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.96606998360691748e-02,-4.94250769956523561e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96606998360691748e-02,0.00000000000000000e+00,-5.70324805876666618e-02,-3.42246298169206220e-04,0.00000000000000000e+00,0.00000000000000000e+00,-5.70324805876666618e-02,-3.42246298169206220e-04,0.00000000000000000e+00,-5.67123770619386153e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.04377882584127175e-03,5.67123770619386153e-02,0.00000000000000000e+00,0.00000000000000000e+00,-6.04377882584127175e-03,0.00000000000000000e+00,-4.96739376870621974e-01,1.33045408407641891e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.96739376870621974e-01,1.33045408407641891e-05,0.00000000000000000e+00,1.00001131874134330e+00,9.94987437127092478e-01,1.13186772868330227e-05,2.04725125740878866e-11,2.04722808536361969e-11
1.23726985503194414e-01,1.13170685644042493e-01,9.87192395910857279e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.93733705541727574e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.96053323614515096e-02,-4.93733705541727574e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.96053323614515096e-02,0.00000000000000000e+00,-6.13982499534454010e-02,-3.97979109136438567e-04,0.00000000000000000e+00,0.00000000000000000e+00,-6.13982499534454010e-02,-3.97979109136438567e-04,0.00000000000000000e+00,-6.10506894530966696e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.53580920916618010e-03,6.10506894530966696e-02,0.00000000000000000e+00,0.00000000000000000e+00,-6.53580920916618010e-03,0.00000000000000000e+00,-4.96219367526263277e-01,1.66880410300605274e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.96219367526263277e-01,1.66880410300605274e-05,0.00000000000000000e+00,1.00001425788549003e+00,9.94987437125923968e-01,1.42577838473489662e-05,1.93040028406699093e-11,1.93037276103321099e-11
1.32564627324851136e-01,1.14175280213410488e-01,9.86964005388189181e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.93178630522016770e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.95456004791342067e-02,-4.93178630522016770e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.95456004791342067e-02,0.00000000000000000e+00,-6.57592854866007881e-02,-4.58067319466647571e-04,0.00000000000000000e+00,0.00000000000000000e+00,-6.57592854866007881e-02,-4.58067319466647571e-04,0.00000000000000000e+00,-6.53838562003288271e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.03169977687849619e-03,6.53838562003288271e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.03169977687849619e-03,0.00000000000000000e+00,-4.95661101666767578e-01,2.06130115594267055e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.95661101666767578e-01,2.06130115594267055e-05,0.00000000000000000e+00,1.00001768633514954e+00,9.94987437125240626e-01,1.76861787481545900e-05,1.86206605690131255e-11,1.86203312435941566e-11
1.41402269146507886e-01,1.15188792376968718e-01,9.86731542110735549e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.92585601427632191e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.94814662469225258e-02,-4.92585601427632191e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.94814662469225258e-02,0.00000000000000000e+00,-7.01152521475635060e-02,-5.22540259936822332e-04,0.00000000000000000e+00,0.00000000000000000e+00,-7.01152521475635060e-02,-5.22540259936822332e-04,0.00000000000000000e+00,-6.97115410103949784e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.53144620877591476e-03,6.97115410103949784e-02,0.00000000000000000e+00,0.00000000000000000e+00,-7.53144620877591476e-03,0.00000000000000000e+00,-4.95064631744795036e-01,2.51228574600696675e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.95064631744795036e-01,2.51228574600696675e-05,0.00000000000000000e+00,1.00002164747122846e+00,9.94987437124247975e-01,2.16472369253347500e-05,1.76280101626957730e-11,1.76276285691134985e-11
1.50239910968164636e-01,1.16211301294498220e-01,9.86494933451439349e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.91954677968721998e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.94128913962605457e-02,-4.91954677968721998e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.94128913962605457e-02,0.00000000000000000e+00,-7.44658154711618780e-02,-5.91426839282540640e-04,0.00000000000000000e+00,0.00000000000000000e+00,-7.44658154711618780e-02,-5.91426839282540640e-04,0.00000000000000000e+00,-7.40334082037776287e-02,0.00000000000000000e+00,0.00000000000000000e+00,8.03504382216999047e-03,7.40334082037776287e-02,0.00000000000000000e+00,0.00000000000000000e+00,-8.03504382216999047e-03,0.00000000000000000e+00,-4.94430013344337393e-01,3.02616264791837427e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.94430013344337393e-01,3.02616264791837427e-05,0.00000000000000000e+00,1.00002618588375602e+00,9.94987437123118212e-01,2.61855409117557729e-05,1.64982472128372137e-11,1.64978152029660792e-11
1.59077552789821358e-01,1.17242886828466272e-01,9.86254105488127419e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.91285923032749872e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.93398373300230134e-02,-4.91285923032749872e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.93398373300230134e-02,0.00000000000000000e+00,-7.88106415972485291e-02,-6.64755535497216286e-04,0.00000000000000000e+00,0.00000000000000000e+00,-7.88106415972485291e-02,-6.64755535497216286e-04,0.00000000000000000e+00,-7.83491227460249989e-02,0.00000000000000000e+00,0.00000000000000000e+00,8.54248756629166599e-03,7.83491227460249989e-02,0.00000000000000000e+00,0.00000000000000000e+00,-8.54248756629166599e-03,0.00000000000000000e+00,-4.93757305177918326e-01,3.60740110178753943e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.93757305177918326e-01,3.60740110178753943e-05,0.00000000000000000e+00,1.00003134738714450e+00,9.94987437122525797e-01,3.13468958254253224e-05,1.59058322068972302e-11,1.59053336162467006e-11
1.67915194611478108e-01,1.18283629550264058e-01,9.86008982980415949e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.90579402681105670e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.92622651203958803e-02,-4.90579402681105670e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.92622651203958803e-02,0.00000000000000000e+00,-8.31493973015026144e-02,-7.42554386941540528e-04,0.00000000000000000e+00,0.00000000000000000e+00,-8.31493973015026144e-02,-7.42554386941540528e-04,0.00000000000000000e+00,-8.26583502792880565e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.05377201652550131e-03,8.26583502792880565e-02,0.00000000000000000e+00,0.00000000000000000e+00,-9.05377201652550131e-03,0.00000000000000000e+00,-4.93046569083009423e-01,4.26053499010471448e-05,0.00000000000000000e+00,0.00000000000000000e+00,-4.93046569083009423e-01,4.26053499010471448e-05,0.00000000000000000e+00,1.00003717903345302e+00,9.94987437121134688e-01,3.71783423298823186e-05,1.45147227570419091e-11,1.45141831337416371e-11
