excitation,eps_hole,eps_particle,k_hole,k_particle
9.54841338227213621e-02,7.04475650078454585e-01,7.99959783901175947e-01,4.33012701892219298e-01,5.00000000000000000e-01
1.78113541475313331e-01,7.04475650078454585e-01,8.82589191553767916e-01,4.33012701892219298e-01,5.59016994374947451e-01
2.11533484324977872e-01,5.88426299576198075e-01,7.99959783901175947e-01,3.53553390593273786e-01,5.00000000000000000e-01
2.51767544773487173e-01,7.04475650078454585e-01,9.56243194851941758e-01,4.33012701892219298e-01,6.12372435695794470e-01
2.94162891977569840e-01,5.88426299576198075e-01,8.82589191553767916e-01,3.53553390593273786e-01,5.59016994374947451e-01
3.67816895275743683e-01,5.88426299576198075e-01,9.56243194851941758e-01,3.53553390593273786e-01,6.12372435695794470e-01
3.68603669384926502e-01,4.31356114516249445e-01,7.99959783901175947e-01,2.50000000000000000e-01,5.00000000000000000e-01
3.80418402426754954e-01,7.04475650078454585e-01,1.08489405250520954e+00,4.33012701892219298e-01,7.07106781186547573e-01
4.37878432563064690e-01,7.04475650078454585e-01,1.14235408264151928e+00,4.33012701892219298e-01,7.50000000000000000e-01
4.51233077037518471e-01,4.31356114516249445e-01,8.82589191553767916e-01,2.50000000000000000e-01,5.59016994374947451e-01
4.91819206206398629e-01,7.04475650078454585e-01,1.19629485628485321e+00,4.33012701892219298e-01,7.90569415042094881e-01
4.96467752929011463e-01,5.88426299576198075e-01,1.08489405250520954e+00,3.53553390593273786e-01,7.07106781186547573e-01
