iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,8.35950675591708575e-02,7.04099564609495299e-01,6.10684105434434912e+01,6.10684105434434912e+01,7.88000000000000000e+02,1.40400000000000000e+04
1.00000000000000000e+00,5.99945581436773567e-01,5.02540995062701404e-02,7.04247782643186881e-01,6.10861446333111857e+01,6.10861446333111857e+01,7.88000000000000000e+02,2.15940000000000000e+04
2.00000000000000000e+00,7.67911426266877943e-05,1.75576616537214417e-04,7.04473011868372412e-01,6.11130095219241838e+01,6.11130095219241838e+01,7.89000000000000000e+02,2.94190000000000000e+04
3.00000000000000000e+00,3.38517179892776724e-06,9.12950980135625791e-07,7.04475693083653098e-01,6.11132168679603538e+01,6.11132168679603538e+01,7.89000000000000000e+02,3.66340000000000000e+04
4.00000000000000000e+00,8.40773492777086917e-07,4.83709128603246907e-07,7.04475667334692579e-01,6.11132137079883861e+01,6.11132137079883861e+01,7.89000000000000000e+02,4.30110000000000000e+04
5.00000000000000000e+00,3.45412231537864665e-07,1.45522814914363450e-07,7.04475655067703488e-01,6.11132120354308626e+01,6.11132120354308626e+01,7.89000000000000000e+02,4.93690000000000000e+04
6.00000000000000000e+00,9.30703367856365980e-08,9.37404561740233300e-09,7.04475650053832281e-01,6.11132115719790292e+01,6.11132115719790292e+01,7.89000000000000000e+02,5.57850000000000000e+04
7.00000000000000000e+00,3.29232316203484949e-08,1.49720167817316454e-08,7.04475649565482920e-01,6.11132116910729408e+01,6.11132116910729408e+01,7.89000000000000000e+02,6.20050000000000000e+04
8.00000000000000000e+00,1.78312769304515788e-08,8.97404761096848451e-09,7.04475649729601305e-01,6.11132118271082376e+01,6.11132118271082376e+01,7.89000000000000000e+02,6.81390000000000000e+04
9.00000000000000000e+00,1.91434742860975143e-10,1.09394875530498004e-10,7.04475650078614679e-01,6.11132120184305734e+01,6.11132120184305734e+01,7.89000000000000000e+02,7.42750000000000000e+04
1.00000000000000000e+01,1.38466617262585105e-11,7.09973988312462950e-12,7.04475650075064297e-01,6.11132120184163909e+01,6.11132120184163909e+01,7.89000000000000000e+02,8.03120000000000000e+04
