iteration,residual_n,residual_S,mu,E,F,states,integrations
0.00000000000000000e+00,1.00000000000000000e+00,1.20632771834198516e-01,1.38591915422294631e+00,1.12713662455221129e+03,1.12713662455221129e+03,7.88000000000000000e+02,1.16620000000000000e+04
1.00000000000000000e+00,5.99999999999941247e-01,7.23796631004375579e-02,1.38591915422281264e+00,1.12713662455254007e+03,1.12713662455254007e+03,1.22500000000000000e+03,2.04970000000000000e+04
2.00000000000000000e+00,4.13539252071092328e-13,8.57547860523692290e-14,1.38591915422485679e+00,1.12713662455270878e+03,1.12713662455270878e+03,1.22500000000000000e+03,2.62190000000000000e+04
